PROKKA_MOD_PART0_00016	TIGR01420
PROKKA_MOD_PART0_02940	TIGR00281
PROKKA_MOD_PART0_02943	TIGR00560
PROKKA_MOD_PART0_02944	TIGR01125
PROKKA_MOD_PART0_02947	TIGR01188
PROKKA_MOD_PART0_02949	TIGR01525
PROKKA_MOD_PART0_02950	TIGR01933
PROKKA_MOD_PART0_02951	TIGR01932
PROKKA_MOD_PART0_02952	TIGR01933
PROKKA_MOD_PART0_02956	TIGR01951
PROKKA_MOD_PART0_02958	TIGR00064
PROKKA_MOD_PART0_02971	TIGR01394
PROKKA_MOD_PART0_02979	TIGR04336
PROKKA_MOD_PART0_02983	TIGR04183
PROKKA_MOD_PART0_02991	TIGR04182
PROKKA_MOD_PART0_02992	TIGR03589
PROKKA_MOD_PART0_03002	TIGR00663
PROKKA_MOD_PART0_03024	TIGR03991
PROKKA_MOD_PART0_03025	TIGR00105
PROKKA_MOD_PART0_03028	TIGR03990
PROKKA_MOD_PART0_03033	TIGR00755
PROKKA_MOD_PART0_03034	TIGR00010
PROKKA_MOD_PART0_03035	TIGR00678
PROKKA_MOD_PART0_03045	TIGR00500
PROKKA_MOD_PART0_03080	TIGR02371
PROKKA_MOD_PART0_03086	TIGR00563
PROKKA_MOD_PART0_03091	TIGR00250
PROKKA_MOD_PART0_03092	TIGR01479
PROKKA_MOD_PART0_03098	TIGR02951
PROKKA_MOD_PART0_03100	TIGR02534
PROKKA_MOD_PART0_03104	TIGR01826
PROKKA_MOD_PART0_03115	TIGR03239
PROKKA_MOD_PART0_03137	TIGR00016
PROKKA_MOD_PART0_03148	TIGR03148
PROKKA_MOD_PART0_03150	TIGR02453
PROKKA_MOD_PART0_03155	TIGR00498
PROKKA_MOD_PART0_03163	TIGR00056
PROKKA_MOD_PART0_03168	TIGR01072
PROKKA_MOD_PART0_03180	TIGR01009
PROKKA_MOD_PART0_03188	TIGR00364
PROKKA_MOD_PART0_03191	TIGR00447
PROKKA_MOD_PART0_03206	TIGR00475
PROKKA_MOD_PART0_03210	TIGR01913
PROKKA_MOD_PART0_03222	TIGR00594
PROKKA_MOD_PART0_03237	TIGR00138
PROKKA_MOD_PART0_03238	TIGR02948
PROKKA_MOD_PART0_03242	TIGR03417
PROKKA_MOD_PART0_03248	TIGR00952
PROKKA_MOD_PART0_03261	TIGR01173
PROKKA_MOD_PART0_03262	TIGR01449
PROKKA_MOD_PART0_03267	TIGR03208
PROKKA_MOD_PART0_03281	TIGR01180
PROKKA_MOD_PART0_03293	TIGR01774
PROKKA_MOD_PART0_03297	TIGR00184
PROKKA_MOD_PART0_03299	TIGR00713
PROKKA_MOD_PART0_03302	TIGR00400
PROKKA_MOD_PART0_03311	TIGR01854
PROKKA_MOD_PART0_03327	TIGR00832
PROKKA_MOD_PART0_03331	TIGR02273
PROKKA_MOD_PART0_03333	TIGR01800
PROKKA_MOD_PART0_03336	TIGR03697
PROKKA_MOD_PART0_03337	TIGR01292
PROKKA_MOD_PART0_03343	TIGR02963
PROKKA_MOD_PART0_03347	TIGR00220
PROKKA_MOD_PART0_03349	TIGR02937
PROKKA_MOD_PART0_03362	TIGR00586
PROKKA_MOD_PART0_03372	TIGR00089
PROKKA_MOD_PART0_03379	TIGR01361
PROKKA_MOD_PART0_03380	TIGR01141
PROKKA_MOD_PART0_03381	TIGR01807
PROKKA_MOD_PART0_03382	TIGR00281
PROKKA_MOD_PART0_03383	TIGR00084
PROKKA_MOD_PART0_03384	TIGR00228
PROKKA_MOD_PART0_03396	TIGR01727
PROKKA_MOD_PART0_03397	TIGR02769
PROKKA_MOD_PART0_03407	TIGR01367
PROKKA_MOD_PART0_03412	TIGR01933
PROKKA_MOD_PART0_03422	TIGR00768
PROKKA_MOD_PART0_03427	TIGR00544
PROKKA_MOD_PART0_03433	TIGR02279
PROKKA_MOD_PART0_03434	TIGR02824
PROKKA_MOD_PART0_03436	TIGR00132
PROKKA_MOD_PART0_03437	TIGR03234
PROKKA_MOD_PART0_03442	TIGR00744
PROKKA_MOD_PART0_03443	TIGR01351
PROKKA_MOD_PART0_03472	TIGR02262
PROKKA_MOD_PART0_03488	TIGR01953
PROKKA_MOD_PART0_03500	TIGR00976
PROKKA_MOD_PART0_03510	TIGR03525
PROKKA_MOD_PART0_03512	TIGR02160
PROKKA_MOD_PART0_03518	TIGR00294
PROKKA_MOD_PART0_03519	TIGR00204
PROKKA_MOD_PART0_03520	TIGR02749
PROKKA_MOD_PART0_03521	TIGR01280
PROKKA_MOD_PART0_03527	TIGR01915
PROKKA_MOD_PART0_03528	TIGR01916
PROKKA_MOD_PART0_03529	TIGR03553
PROKKA_MOD_PART0_03530	TIGR03611
PROKKA_MOD_PART0_03534	TIGR01047
PROKKA_MOD_PART0_03535	TIGR00008
PROKKA_MOD_PART0_03536	TIGR01230
PROKKA_MOD_PART0_03537	TIGR00116
PROKKA_MOD_PART0_03538	TIGR01011
PROKKA_MOD_PART0_03539	TIGR00704
PROKKA_MOD_PART0_03540	TIGR00704
PROKKA_MOD_PART0_03541	TIGR00704
PROKKA_MOD_PART0_03546	TIGR02136
PROKKA_MOD_PART0_03547	TIGR00385
PROKKA_MOD_PART0_03548	TIGR02138
PROKKA_MOD_PART0_03549	TIGR00974
PROKKA_MOD_PART0_03550	TIGR00972
PROKKA_MOD_PART0_03551	TIGR02135
PROKKA_MOD_PART0_03552	TIGR02154
PROKKA_MOD_PART0_03553	TIGR02966
PROKKA_MOD_PART0_03561	TIGR02521
PROKKA_MOD_PART0_03565	TIGR01687
PROKKA_MOD_PART0_03567	TIGR01139
PROKKA_MOD_PART0_03569	TIGR00013
PROKKA_MOD_PART0_03575	TIGR00930
PROKKA_MOD_PART0_03577	TIGR02032
PROKKA_MOD_PART0_03580	TIGR01822
PROKKA_MOD_PART0_03594	TIGR01891
PROKKA_MOD_PART0_03600	TIGR00950
PROKKA_MOD_PART0_03616	TIGR00484
PROKKA_MOD_PART0_03617	TIGR01029
PROKKA_MOD_PART0_03618	TIGR00981
PROKKA_MOD_PART0_03619	TIGR02386
PROKKA_MOD_PART0_03620	TIGR02013
PROKKA_MOD_PART0_03621	TIGR00855
PROKKA_MOD_PART0_03623	TIGR01169
PROKKA_MOD_PART0_03624	TIGR01632
PROKKA_MOD_PART0_03625	TIGR00922
PROKKA_MOD_PART0_03626	TIGR00964
PROKKA_MOD_PART0_03633	TIGR00455
PROKKA_MOD_PART0_03634	TIGR02034
PROKKA_MOD_PART0_03635	TIGR02039
PROKKA_MOD_PART0_03644	TIGR03619
PROKKA_MOD_PART0_03662	TIGR01967
PROKKA_MOD_PART0_03665	TIGR03197
PROKKA_MOD_PART0_03668	TIGR02154
PROKKA_MOD_PART0_03669	TIGR01386
PROKKA_MOD_PART0_03670	TIGR01352
PROKKA_MOD_PART0_03671	TIGR03617
PROKKA_MOD_PART0_03684	TIGR04272
PROKKA_MOD_PART0_03690	TIGR04183
PROKKA_MOD_PART0_03694	TIGR00384
PROKKA_MOD_PART0_03704	TIGR04183
PROKKA_MOD_PART0_03707	TIGR00915
PROKKA_MOD_PART0_03708	TIGR01730
PROKKA_MOD_PART0_03711	TIGR02718
PROKKA_MOD_PART0_03727	TIGR02769
PROKKA_MOD_PART0_03728	TIGR01727
PROKKA_MOD_PART0_03735	TIGR01830
PROKKA_MOD_PART0_03749	TIGR00230
PROKKA_MOD_PART0_03753	TIGR00411
PROKKA_MOD_PART0_03767	TIGR01188
PROKKA_MOD_PART0_03784	TIGR00179
PROKKA_MOD_PART0_03790	TIGR00722
PROKKA_MOD_PART0_03791	TIGR01682
PROKKA_MOD_PART0_03792	TIGR00177
PROKKA_MOD_PART0_03800	TIGR02790
PROKKA_MOD_PART0_03803	TIGR01121
PROKKA_MOD_PART0_03813	TIGR03533
PROKKA_MOD_PART0_03821	TIGR01534
PROKKA_MOD_PART0_03834	TIGR02937
PROKKA_MOD_PART0_03840	TIGR01037
PROKKA_MOD_PART0_03841	TIGR02154
PROKKA_MOD_PART0_03844	TIGR00441
PROKKA_MOD_PART0_03846	TIGR03019
PROKKA_MOD_PART0_03848	TIGR03999
PROKKA_MOD_PART0_03852	TIGR00427
PROKKA_MOD_PART0_03855	TIGR03436
PROKKA_MOD_PART0_03858	TIGR02937
PROKKA_MOD_PART0_03860	TIGR01128
PROKKA_MOD_PART0_03867	TIGR01760
PROKKA_MOD_PART0_03868	TIGR01587
PROKKA_MOD_PART0_03870	TIGR00229
PROKKA_MOD_PART0_03874	TIGR03466
PROKKA_MOD_PART0_03875	TIGR02692
PROKKA_MOD_PART0_03885	TIGR02964
PROKKA_MOD_PART0_03889	TIGR03290
PROKKA_MOD_PART0_03908	TIGR02790
PROKKA_MOD_PART0_03921	TIGR02824
PROKKA_MOD_PART0_03923	TIGR04349
PROKKA_MOD_PART0_03925	TIGR02800
PROKKA_MOD_PART0_03928	TIGR02032
PROKKA_MOD_PART0_03929	TIGR02639
PROKKA_MOD_PART0_03930	TIGR00759
PROKKA_MOD_PART0_03936	TIGR03376
PROKKA_MOD_PART0_03940	TIGR00521
PROKKA_MOD_PART0_03941	TIGR00595
PROKKA_MOD_PART0_03964	TIGR00500
PROKKA_MOD_PART0_03965	TIGR03992
PROKKA_MOD_PART0_03971	TIGR00747
PROKKA_MOD_PART0_03982	TIGR04350
PROKKA_MOD_PART0_03986	TIGR01938
PROKKA_MOD_PART0_03994	TIGR04056
PROKKA_MOD_PART0_03996	TIGR01322
PROKKA_MOD_PART0_03999	TIGR02638
PROKKA_MOD_PART0_04000	TIGR00692
PROKKA_MOD_PART0_04001	TIGR00813
PROKKA_MOD_PART0_04006	TIGR02067
PROKKA_MOD_PART0_04013	TIGR00457
PROKKA_MOD_PART0_04014	TIGR00135
PROKKA_MOD_PART0_04015	TIGR01003
PROKKA_MOD_PART0_04016	TIGR00679
PROKKA_MOD_PART0_04017	TIGR03410
PROKKA_MOD_PART0_04018	TIGR03002
PROKKA_MOD_PART0_04025	TIGR02729
PROKKA_MOD_PART0_04026	TIGR00732
PROKKA_MOD_PART0_04034	TIGR00250
PROKKA_MOD_PART0_04039	TIGR01184
PROKKA_MOD_PART0_04040	TIGR01728
PROKKA_MOD_PART0_04044	TIGR01348
PROKKA_MOD_PART0_04046	TIGR00713
PROKKA_MOD_PART0_04048	TIGR03654
PROKKA_MOD_PART0_04059	TIGR02480
PROKKA_MOD_PART0_04060	TIGR01397
PROKKA_MOD_PART0_04062	TIGR03350
PROKKA_MOD_PART0_04063	TIGR03350
PROKKA_MOD_PART0_04064	TIGR03417
PROKKA_MOD_PART0_04070	TIGR00254
PROKKA_MOD_PART0_04073	TIGR00478
PROKKA_MOD_PART0_04075	TIGR00264
PROKKA_MOD_PART0_04082	TIGR00229
PROKKA_MOD_PART0_04107	TIGR00149
PROKKA_MOD_PART0_04110	TIGR02534
PROKKA_MOD_PART0_04124	TIGR02330
PROKKA_MOD_PART0_04129	TIGR02135
PROKKA_MOD_PART0_04149	TIGR00233
PROKKA_MOD_PART0_04155	TIGR00433
PROKKA_MOD_PART0_04157	TIGR02203
PROKKA_MOD_PART0_04158	TIGR00928
PROKKA_MOD_PART0_04164	TIGR01934
PROKKA_MOD_PART0_04166	TIGR00631
PROKKA_MOD_PART0_04167	TIGR02072
PROKKA_MOD_PART0_04168	TIGR00512
PROKKA_MOD_PART0_04169	TIGR01694
PROKKA_MOD_PART0_04175	TIGR01088
PROKKA_MOD_PART0_04179	TIGR01853
PROKKA_MOD_PART0_04202	TIGR03534
PROKKA_MOD_PART0_04203	TIGR00019
PROKKA_MOD_PART0_04205	TIGR00105
PROKKA_MOD_PART0_04206	TIGR00062
PROKKA_MOD_PART0_04207	TIGR00061
PROKKA_MOD_PART0_04209	TIGR00512
PROKKA_MOD_PART0_04230	TIGR02966
PROKKA_MOD_PART0_04231	TIGR03965
PROKKA_MOD_PART0_04233	TIGR03156
PROKKA_MOD_PART0_04236	TIGR01197
PROKKA_MOD_PART0_04242	TIGR02800
PROKKA_MOD_PART0_04250	TIGR01428
PROKKA_MOD_PART0_04253	TIGR00397
PROKKA_MOD_PART0_04262	TIGR02280
PROKKA_MOD_PART0_04264	TIGR00745
PROKKA_MOD_PART0_04266	TIGR02356
PROKKA_MOD_PART0_04269	TIGR00893
PROKKA_MOD_PART0_04271	TIGR02521
PROKKA_MOD_PART0_04276	TIGR01780
PROKKA_MOD_PART0_04282	TIGR02381
PROKKA_MOD_PART0_04287	TIGR00229
PROKKA_MOD_PART0_04290	TIGR00400
PROKKA_MOD_PART0_04292	TIGR00741
PROKKA_MOD_PART0_04294	TIGR01364
PROKKA_MOD_PART0_04295	TIGR01807
PROKKA_MOD_PART0_04307	TIGR02824
PROKKA_MOD_PART0_04318	TIGR02521
PROKKA_MOD_PART0_04331	TIGR03585
PROKKA_MOD_PART0_04332	TIGR01188
PROKKA_MOD_PART0_04336	TIGR02800
PROKKA_MOD_PART0_04339	TIGR00043
PROKKA_MOD_PART0_04348	TIGR01258
PROKKA_MOD_PART0_04350	TIGR01575
PROKKA_MOD_PART0_04362	TIGR04091
PROKKA_MOD_PART0_04382	TIGR00804
PROKKA_MOD_PART0_04384	TIGR01354
PROKKA_MOD_PART0_04387	TIGR01073
PROKKA_MOD_PART0_04390	TIGR03346
PROKKA_MOD_PART0_04394	TIGR03088
PROKKA_MOD_PART0_04395	TIGR00566
PROKKA_MOD_PART0_04398	TIGR00054
PROKKA_MOD_PART0_04406	TIGR03263
PROKKA_MOD_PART0_04411	TIGR01730
PROKKA_MOD_PART0_04412	TIGR01844
PROKKA_MOD_PART0_04416	TIGR04001
PROKKA_MOD_PART0_04418	TIGR02533
PROKKA_MOD_PART0_04436	TIGR03819
PROKKA_MOD_PART0_04438	TIGR01490
PROKKA_MOD_PART0_04439	TIGR00900
PROKKA_MOD_PART0_04442	TIGR00170
PROKKA_MOD_PART0_04443	TIGR00171
PROKKA_MOD_PART0_04448	TIGR01224
PROKKA_MOD_PART0_04449	TIGR01228
PROKKA_MOD_PART0_04454	TIGR02381
PROKKA_MOD_PART0_04455	TIGR02618
PROKKA_MOD_PART0_04456	TIGR01117
PROKKA_MOD_PART0_04465	TIGR00318
PROKKA_MOD_PART0_04470	TIGR01163
PROKKA_MOD_PART0_04471	TIGR00749
PROKKA_MOD_PART0_04472	TIGR00421
PROKKA_MOD_PART0_04486	TIGR01136
PROKKA_MOD_PART0_04491	TIGR00780
PROKKA_MOD_PART0_04493	TIGR03367
PROKKA_MOD_PART0_04497	TIGR01439
PROKKA_MOD_PART0_04516	TIGR00668
PROKKA_MOD_PART0_04517	TIGR01814
PROKKA_MOD_PART0_04520	TIGR01251
PROKKA_MOD_PART0_04527	TIGR03491
PROKKA_MOD_PART0_04546	TIGR00046
PROKKA_MOD_PART0_04553	TIGR01549
PROKKA_MOD_PART0_04556	TIGR02211
PROKKA_MOD_PART0_04566	TIGR01536
PROKKA_MOD_PART0_04586	TIGR01443
PROKKA_MOD_PART0_04607	TIGR02154
PROKKA_MOD_PART0_04610	TIGR02211
PROKKA_MOD_PART0_04620	TIGR01686
PROKKA_MOD_PART0_04621	TIGR00010
PROKKA_MOD_PART0_04623	TIGR00200
PROKKA_MOD_PART0_04637	TIGR00375
PROKKA_MOD_PART0_04638	TIGR00692
PROKKA_MOD_PART0_04640	TIGR04122
PROKKA_MOD_PART0_04641	TIGR00384
PROKKA_MOD_PART0_04645	TIGR00731
PROKKA_MOD_PART0_04648	TIGR02779
PROKKA_MOD_PART0_04653	TIGR02454
PROKKA_MOD_PART0_04654	TIGR01166
PROKKA_MOD_PART0_04656	TIGR03417
PROKKA_MOD_PART0_04660	TIGR02173
PROKKA_MOD_PART0_04662	TIGR02186
PROKKA_MOD_PART0_04669	TIGR03193
PROKKA_MOD_PART0_04681	TIGR00093
PROKKA_MOD_PART0_04689	TIGR01166
PROKKA_MOD_PART0_04692	TIGR00059
PROKKA_MOD_PART0_04700	TIGR03980
PROKKA_MOD_PART0_04703	TIGR01420
PROKKA_MOD_PART0_04706	TIGR00387
PROKKA_MOD_PART0_04720	TIGR02360
PROKKA_MOD_PART0_04729	TIGR03719
PROKKA_MOD_PART0_04733	TIGR02280
PROKKA_MOD_PART0_04735	TIGR00745
PROKKA_MOD_PART0_04737	TIGR04183
PROKKA_MOD_PART0_04742	TIGR03328
PROKKA_MOD_PART0_04749	TIGR01924
PROKKA_MOD_PART0_04750	TIGR00377
PROKKA_MOD_PART0_04753	TIGR00835
PROKKA_MOD_PART0_04754	TIGR00479
PROKKA_MOD_PART0_04756	TIGR03719
PROKKA_MOD_PART0_04758	TIGR00186
PROKKA_MOD_PART0_04760	TIGR02149
PROKKA_MOD_PART0_04761	TIGR00204
PROKKA_MOD_PART0_04768	TIGR04247
PROKKA_MOD_PART0_04769	TIGR01934
PROKKA_MOD_PART0_04770	TIGR01730
PROKKA_MOD_PART0_04772	TIGR00914
PROKKA_MOD_PART0_04777	TIGR00654
PROKKA_MOD_PART0_04779	TIGR01783
PROKKA_MOD_PART0_04780	TIGR01352
PROKKA_MOD_PART0_04784	TIGR03921
PROKKA_MOD_PART0_04788	TIGR03799
PROKKA_MOD_PART0_04794	TIGR01969
PROKKA_MOD_PART0_04795	TIGR02937
PROKKA_MOD_PART0_04799	TIGR03592
PROKKA_MOD_PART0_04801	TIGR03330
PROKKA_MOD_PART0_04807	TIGR00214
PROKKA_MOD_PART0_04813	TIGR03849
PROKKA_MOD_PART0_04815	TIGR00507
PROKKA_MOD_PART0_04817	TIGR00071
PROKKA_MOD_PART0_04822	TIGR00955
PROKKA_MOD_PART0_04825	TIGR01242
PROKKA_MOD_PART0_04838	TIGR03181
PROKKA_MOD_PART0_04850	TIGR01117
PROKKA_MOD_PART0_04856	TIGR03518
PROKKA_MOD_PART0_04861	TIGR00571
PROKKA_MOD_PART0_04863	TIGR02349
PROKKA_MOD_PART0_04870	TIGR02393
PROKKA_MOD_PART0_04873	TIGR00436
PROKKA_MOD_PART0_04889	TIGR01444
PROKKA_MOD_PART0_04892	TIGR03107
PROKKA_MOD_PART0_04893	TIGR03107
PROKKA_MOD_PART0_04895	TIGR00595
PROKKA_MOD_PART0_04909	TIGR00674
PROKKA_MOD_PART0_04910	TIGR01205
PROKKA_MOD_PART0_04925	TIGR01736
PROKKA_MOD_PART0_04926	TIGR00165
PROKKA_MOD_PART0_04927	TIGR00621
PROKKA_MOD_PART0_04928	TIGR00166
PROKKA_MOD_PART0_04950	TIGR03028
PROKKA_MOD_PART0_04952	TIGR02381
PROKKA_MOD_PART0_04959	TIGR00020
PROKKA_MOD_PART0_04965	TIGR01496
PROKKA_MOD_PART0_04971	TIGR00900
PROKKA_MOD_PART0_04972	TIGR00959
PROKKA_MOD_PART0_04974	TIGR00002
PROKKA_MOD_PART0_04976	TIGR02273
PROKKA_MOD_PART0_04977	TIGR00088
PROKKA_MOD_PART0_04978	TIGR01024
PROKKA_MOD_PART0_04988	TIGR02314
PROKKA_MOD_PART0_04989	TIGR00996
PROKKA_MOD_PART0_04994	TIGR01156
PROKKA_MOD_PART0_04995	TIGR01416
PROKKA_MOD_PART0_04996	TIGR00185
PROKKA_MOD_PART0_05014	TIGR02050
PROKKA_MOD_PART0_05027	TIGR02214
PROKKA_MOD_PART0_05030	TIGR01417
PROKKA_MOD_PART0_05040	TIGR02604
PROKKA_MOD_PART0_05047	TIGR03290
PROKKA_MOD_PART0_05074	TIGR00708
PROKKA_MOD_PART0_05076	TIGR03265
PROKKA_MOD_PART0_05077	TIGR03262
PROKKA_MOD_PART0_05082	TIGR03921
PROKKA_MOD_PART0_05088	TIGR01837
PROKKA_MOD_PART0_05089	TIGR01982
PROKKA_MOD_PART0_05096	TIGR00594
PROKKA_MOD_PART0_05098	TIGR02425
PROKKA_MOD_PART0_05108	TIGR01980
PROKKA_MOD_PART0_05132	TIGR00465
PROKKA_MOD_PART0_05147	TIGR00093
PROKKA_MOD_PART0_05162	TIGR01305
PROKKA_MOD_PART0_05171	TIGR02258
PROKKA_MOD_PART0_05182	TIGR00585
PROKKA_MOD_PART0_05193	TIGR01387
PROKKA_MOD_PART0_05196	TIGR00577
PROKKA_MOD_PART0_05206	TIGR01063
PROKKA_MOD_PART0_05208	TIGR01297
PROKKA_MOD_PART0_05210	TIGR01135
PROKKA_MOD_PART0_05212	TIGR01241
PROKKA_MOD_PART0_05213	TIGR02432
PROKKA_MOD_PART0_05218	TIGR00184
PROKKA_MOD_PART0_05219	TIGR02266
PROKKA_MOD_PART0_05262	TIGR00473
PROKKA_MOD_PART0_05268	TIGR03814
PROKKA_MOD_PART0_05271	TIGR00210
PROKKA_MOD_PART0_05279	TIGR01181
PROKKA_MOD_PART0_05282	TIGR00434
PROKKA_MOD_PART0_05285	TIGR04128
PROKKA_MOD_PART0_05286	TIGR03019
PROKKA_MOD_PART0_05302	TIGR03519
PROKKA_MOD_PART0_05303	TIGR04131
PROKKA_MOD_PART0_05306	TIGR00972
PROKKA_MOD_PART0_05320	TIGR00174
PROKKA_MOD_PART0_05321	TIGR00644
PROKKA_MOD_PART0_05326	TIGR02152
PROKKA_MOD_PART0_05334	TIGR02393
PROKKA_MOD_PART0_05339	TIGR00786
PROKKA_MOD_PART0_05340	TIGR03648
PROKKA_MOD_PART0_05348	TIGR02408
PROKKA_MOD_PART0_05350	TIGR02137
PROKKA_MOD_PART0_05353	TIGR00260
PROKKA_MOD_PART0_05354	TIGR00496
PROKKA_MOD_PART0_05355	TIGR02075
PROKKA_MOD_PART0_05380	TIGR01928
PROKKA_MOD_PART0_05386	TIGR01575
PROKKA_MOD_PART0_05389	TIGR03719
PROKKA_MOD_PART0_05395	TIGR00630
PROKKA_MOD_PART0_05396	TIGR00880
PROKKA_MOD_PART0_05397	TIGR00621
PROKKA_MOD_PART0_05398	TIGR01574
PROKKA_MOD_PART0_05400	TIGR01694
PROKKA_MOD_PART0_05411	TIGR01221
PROKKA_MOD_PART0_05413	TIGR02072
PROKKA_MOD_PART0_05419	TIGR00254
PROKKA_MOD_PART0_05426	TIGR03802
PROKKA_MOD_PART0_05431	TIGR02471
PROKKA_MOD_PART0_05434	TIGR01830
PROKKA_MOD_PART0_05435	TIGR00513
PROKKA_MOD_PART0_05455	TIGR00262
PROKKA_MOD_PART0_05460	TIGR01188
PROKKA_MOD_PART0_05474	TIGR00514
PROKKA_MOD_PART0_05477	TIGR01953
PROKKA_MOD_PART0_05479	TIGR01969
PROKKA_MOD_PART0_05481	TIGR00081
PROKKA_MOD_PART0_05482	TIGR00667
PROKKA_MOD_PART0_05483	TIGR02483
PROKKA_MOD_PART0_05490	TIGR03195
PROKKA_MOD_PART0_05511	TIGR00202
PROKKA_MOD_PART0_05526	TIGR02211
PROKKA_MOD_PART0_05534	TIGR00621
PROKKA_MOD_PART0_05545	TIGR00254
PROKKA_MOD_PART0_05555	TIGR02034
PROKKA_MOD_PART0_05562	TIGR04183
PROKKA_MOD_PART0_05563	TIGR03081
PROKKA_MOD_PART0_05573	TIGR03336
PROKKA_MOD_PART0_05579	TIGR00459
PROKKA_MOD_PART0_05589	TIGR01229
PROKKA_MOD_PART0_05594	TIGR01260
PROKKA_MOD_PART0_05601	TIGR01096
PROKKA_MOD_PART0_05611	TIGR02789
PROKKA_MOD_PART0_05614	TIGR02177
PROKKA_MOD_PART0_05617	TIGR02203
PROKKA_MOD_PART0_05618	TIGR02203
PROKKA_MOD_PART0_05620	TIGR02214
PROKKA_MOD_PART0_05629	TIGR02937
PROKKA_MOD_PART0_05642	TIGR01163
PROKKA_MOD_PART0_05647	TIGR00466
PROKKA_MOD_PART0_05649	TIGR02937
PROKKA_MOD_PART0_05650	TIGR00277
PROKKA_MOD_PART0_05651	TIGR00043
PROKKA_MOD_PART0_05652	TIGR00873
PROKKA_MOD_PART0_05654	TIGR02432
PROKKA_MOD_PART0_05656	TIGR00400
PROKKA_MOD_PART0_05657	TIGR00653
PROKKA_MOD_PART0_05660	TIGR04181
PROKKA_MOD_PART0_05663	TIGR03088
PROKKA_MOD_PART0_05664	TIGR02009
PROKKA_MOD_PART0_05665	TIGR01262
PROKKA_MOD_PART0_05669	TIGR04312
PROKKA_MOD_PART0_05672	TIGR01188
PROKKA_MOD_PART0_05705	TIGR00440
PROKKA_MOD_PART0_05707	TIGR04056
PROKKA_MOD_PART0_05709	TIGR04183
PROKKA_MOD_PART0_05718	TIGR02974
PROKKA_MOD_PART0_05725	TIGR00787
PROKKA_MOD_PART0_05731	TIGR01730
PROKKA_MOD_PART0_05733	TIGR01844
PROKKA_MOD_PART0_05734	TIGR00711
PROKKA_MOD_PART0_05735	TIGR00998
PROKKA_MOD_PART0_05736	TIGR02337
PROKKA_MOD_PART0_05737	TIGR00189
PROKKA_MOD_PART0_05738	TIGR00005
PROKKA_MOD_PART0_05742	TIGR03896
PROKKA_MOD_PART0_05743	TIGR03794
PROKKA_MOD_PART0_05744	TIGR03796
PROKKA_MOD_PART0_05745	TIGR03797
PROKKA_MOD_PART0_05748	TIGR03440
PROKKA_MOD_PART0_05764	TIGR03696
PROKKA_MOD_PART0_05776	TIGR03193
PROKKA_MOD_PART0_05777	TIGR03310
PROKKA_MOD_PART0_05778	TIGR02964
PROKKA_MOD_PART0_05780	TIGR00738
PROKKA_MOD_PART0_05783	TIGR00982
PROKKA_MOD_PART0_05796	TIGR00530
PROKKA_MOD_PART0_05800	TIGR03208
PROKKA_MOD_PART0_05801	TIGR03074
PROKKA_MOD_PART0_05804	TIGR03518
PROKKA_MOD_PART0_05805	TIGR02640
PROKKA_MOD_PART0_05813	TIGR00539
PROKKA_MOD_PART0_05816	TIGR00679
PROKKA_MOD_PART0_05819	TIGR00317
PROKKA_MOD_PART0_05820	TIGR03162
PROKKA_MOD_PART0_05822	TIGR00227
PROKKA_MOD_PART0_05823	TIGR00187
PROKKA_MOD_PART0_05824	TIGR00506
PROKKA_MOD_PART0_05825	TIGR00114
PROKKA_MOD_PART0_05826	TIGR01951
PROKKA_MOD_PART0_05827	TIGR01379
PROKKA_MOD_PART0_05831	TIGR02427
PROKKA_MOD_PART0_05833	TIGR03070
PROKKA_MOD_PART0_05845	TIGR02937
PROKKA_MOD_PART0_05850	TIGR01117
PROKKA_MOD_PART0_05855	TIGR00500
PROKKA_MOD_PART0_05856	TIGR00038
PROKKA_MOD_PART0_05858	TIGR01007
PROKKA_MOD_PART0_05859	TIGR03570
PROKKA_MOD_PART0_05860	TIGR03081
PROKKA_MOD_PART0_05864	TIGR02800
PROKKA_MOD_PART0_05866	TIGR01575
PROKKA_MOD_PART0_05889	TIGR00104
PROKKA_MOD_PART0_05892	TIGR01826
PROKKA_MOD_PART0_05894	TIGR00168
PROKKA_MOD_PART0_05903	TIGR03586
PROKKA_MOD_PART0_05910	TIGR02081
PROKKA_MOD_PART0_05919	TIGR00510
PROKKA_MOD_PART0_05920	TIGR00214
PROKKA_MOD_PART0_05928	TIGR03410
PROKKA_MOD_PART0_05929	TIGR00679
PROKKA_MOD_PART0_05930	TIGR00362
PROKKA_MOD_PART0_05932	TIGR01934
PROKKA_MOD_PART0_05933	TIGR00382
PROKKA_MOD_PART0_05934	TIGR00988
PROKKA_MOD_PART0_05935	TIGR00442
PROKKA_MOD_PART0_05952	TIGR01807
PROKKA_MOD_PART0_05959	TIGR00815
PROKKA_MOD_PART0_05960	TIGR01068
PROKKA_MOD_PART0_05962	TIGR00731
PROKKA_MOD_PART0_05963	TIGR01251
PROKKA_MOD_PART0_05964	TIGR00154
PROKKA_MOD_PART0_05965	TIGR00548
PROKKA_MOD_PART0_05968	TIGR01035
PROKKA_MOD_PART0_05969	TIGR00019
PROKKA_MOD_PART0_05971	TIGR01402
PROKKA_MOD_PART0_05987	TIGR00080
PROKKA_MOD_PART0_05993	TIGR00420
PROKKA_MOD_PART0_05995	TIGR02273
