PROKKA_MOD_PART0_05128	COG3828
PROKKA_MOD_PART0_05129	COG0673
PROKKA_MOD_PART0_05132	COG0059
PROKKA_MOD_PART0_05171	COG1514
PROKKA_MOD_PART0_05174	COG0484
PROKKA_MOD_PART0_05183	COG0166
PROKKA_MOD_PART0_05187	COG2801
PROKKA_MOD_PART0_05193	COG0784
PROKKA_MOD_PART0_05196	COG0266
PROKKA_MOD_PART0_05206	COG0188
PROKKA_MOD_PART0_05208	COG0053
PROKKA_MOD_PART0_05210	COG0449
PROKKA_MOD_PART0_05212	COG0465
PROKKA_MOD_PART0_05213	COG0037
PROKKA_MOD_PART0_05216	COG1512
PROKKA_MOD_PART0_05218	COG0104
PROKKA_MOD_PART0_05235	COG4354
PROKKA_MOD_PART0_05236	COG0596
PROKKA_MOD_PART0_05268	COG2066
PROKKA_MOD_PART0_05271	COG0786
PROKKA_MOD_PART0_05278	COG0662
PROKKA_MOD_PART0_05279	COG0451
PROKKA_MOD_PART0_05282	COG0175
PROKKA_MOD_PART0_05284	COG0508
PROKKA_MOD_PART0_05306	COG1127
PROKKA_MOD_PART0_05320	COG0324
PROKKA_MOD_PART0_05321	COG0608
PROKKA_MOD_PART0_05324	COG1975
PROKKA_MOD_PART0_05325	COG1957
PROKKA_MOD_PART0_05326	COG0524
PROKKA_MOD_PART0_05334	COG0568
PROKKA_MOD_PART0_05336	COG0575
PROKKA_MOD_PART0_05338	COG3090
PROKKA_MOD_PART0_05339	COG1593
PROKKA_MOD_PART0_05340	COG4147
PROKKA_MOD_PART0_05349	COG2863
PROKKA_MOD_PART0_05350	COG0560
PROKKA_MOD_PART0_05352	COG2872
PROKKA_MOD_PART0_05353	COG0498
PROKKA_MOD_PART0_05354	COG0233
PROKKA_MOD_PART0_05355	COG0528
PROKKA_MOD_PART0_05356	COG0264
PROKKA_MOD_PART0_05374	COG4603
PROKKA_MOD_PART0_05376	COG1683
PROKKA_MOD_PART0_05380	COG4948
PROKKA_MOD_PART0_05389	COG0488
PROKKA_MOD_PART0_05390	COG2900
PROKKA_MOD_PART0_05392	COG3647
PROKKA_MOD_PART0_05394	COG0652
PROKKA_MOD_PART0_05395	COG0178
PROKKA_MOD_PART0_05397	COG0629
PROKKA_MOD_PART0_05398	COG0621
PROKKA_MOD_PART0_05400	COG0005
PROKKA_MOD_PART0_05402	COG3668
PROKKA_MOD_PART0_05404	COG2026
PROKKA_MOD_PART0_05410	COG0451
PROKKA_MOD_PART0_05411	COG1898
PROKKA_MOD_PART0_05412	COG4310
PROKKA_MOD_PART0_05413	COG2226
PROKKA_MOD_PART0_05415	COG1271
PROKKA_MOD_PART0_05419	COG2199
PROKKA_MOD_PART0_05420	COG2197
PROKKA_MOD_PART0_05426	COG2985
PROKKA_MOD_PART0_05427	COG1943
PROKKA_MOD_PART0_05429	COG0491
PROKKA_MOD_PART0_05431	COG0561
PROKKA_MOD_PART0_05434	COG1028
PROKKA_MOD_PART0_05435	COG0825
PROKKA_MOD_PART0_05436	COG0705
PROKKA_MOD_PART0_05437	COG1216
PROKKA_MOD_PART0_05445	COG3728
PROKKA_MOD_PART0_05453	COG1595
PROKKA_MOD_PART0_05455	COG0159
PROKKA_MOD_PART0_05460	COG1131
PROKKA_MOD_PART0_05461	COG1484
PROKKA_MOD_PART0_05466	COG0670
PROKKA_MOD_PART0_05476	COG0779
PROKKA_MOD_PART0_05477	COG0195
PROKKA_MOD_PART0_05478	COG0694
PROKKA_MOD_PART0_05479	COG0489
PROKKA_MOD_PART0_05481	COG0152
PROKKA_MOD_PART0_05482	COG2360
PROKKA_MOD_PART0_05483	COG0205
PROKKA_MOD_PART0_05484	COG0673
PROKKA_MOD_PART0_05486	COG0795
PROKKA_MOD_PART0_05487	COG0795
PROKKA_MOD_PART0_05490	COG1319
PROKKA_MOD_PART0_05495	COG0308
PROKKA_MOD_PART0_05496	COG0791
PROKKA_MOD_PART0_05500	COG1268
PROKKA_MOD_PART0_05504	COG3119
PROKKA_MOD_PART0_05510	COG4783
PROKKA_MOD_PART0_05511	COG1551
PROKKA_MOD_PART0_05517	COG3328
PROKKA_MOD_PART0_05518	COG0393
PROKKA_MOD_PART0_05520	COG4320
PROKKA_MOD_PART0_05521	COG1835
PROKKA_MOD_PART0_05526	COG1136
PROKKA_MOD_PART0_05530	COG0234
PROKKA_MOD_PART0_05534	COG0629
PROKKA_MOD_PART0_05540	COG0457
PROKKA_MOD_PART0_05543	COG0674
PROKKA_MOD_PART0_05544	COG0784
PROKKA_MOD_PART0_05545	COG2199
PROKKA_MOD_PART0_05554	COG3205
PROKKA_MOD_PART0_05558	COG1082
PROKKA_MOD_PART0_05559	COG3291
PROKKA_MOD_PART0_05563	COG0346
PROKKA_MOD_PART0_05573	COG4231
PROKKA_MOD_PART0_05574	COG2317
PROKKA_MOD_PART0_05579	COG0173
PROKKA_MOD_PART0_05589	COG0010
PROKKA_MOD_PART0_05594	COG0636
PROKKA_MOD_PART0_05601	COG0834
PROKKA_MOD_PART0_05607	COG4585
PROKKA_MOD_PART0_05608	COG0683
PROKKA_MOD_PART0_05610	COG1376
PROKKA_MOD_PART0_05611	COG0601
PROKKA_MOD_PART0_05614	COG1013
PROKKA_MOD_PART0_05617	COG1132
PROKKA_MOD_PART0_05618	COG1132
PROKKA_MOD_PART0_05620	COG0768
PROKKA_MOD_PART0_05629	COG1595
PROKKA_MOD_PART0_05631	COG0491
PROKKA_MOD_PART0_05634	COG1757
PROKKA_MOD_PART0_05635	COG1748
PROKKA_MOD_PART0_05636	COG2843
PROKKA_MOD_PART0_05637	COG2843
PROKKA_MOD_PART0_05642	COG0036
PROKKA_MOD_PART0_05647	COG1212
PROKKA_MOD_PART0_05649	COG1595
PROKKA_MOD_PART0_05650	COG1480
PROKKA_MOD_PART0_05651	COG0319
PROKKA_MOD_PART0_05652	COG0362
PROKKA_MOD_PART0_05654	COG0037
PROKKA_MOD_PART0_05655	COG3653
PROKKA_MOD_PART0_05656	COG2239
PROKKA_MOD_PART0_05657	COG0174
PROKKA_MOD_PART0_05658	COG0662
PROKKA_MOD_PART0_05660	COG0399
PROKKA_MOD_PART0_05662	COG2124
PROKKA_MOD_PART0_05663	COG0438
PROKKA_MOD_PART0_05664	COG0637
PROKKA_MOD_PART0_05665	COG0625
PROKKA_MOD_PART0_05666	COG0515
PROKKA_MOD_PART0_05667	COG0116
PROKKA_MOD_PART0_05669	COG5276
PROKKA_MOD_PART0_05671	COG1725
PROKKA_MOD_PART0_05672	COG1131
PROKKA_MOD_PART0_05674	COG2121
PROKKA_MOD_PART0_05675	COG5340
PROKKA_MOD_PART0_05679	COG0846
PROKKA_MOD_PART0_05705	COG0008
PROKKA_MOD_PART0_05707	COG1629
PROKKA_MOD_PART0_05718	COG2204
PROKKA_MOD_PART0_05725	COG1638
PROKKA_MOD_PART0_05731	COG0845
PROKKA_MOD_PART0_05732	COG1846
PROKKA_MOD_PART0_05733	COG1538
PROKKA_MOD_PART0_05734	COG2814
PROKKA_MOD_PART0_05735	COG1566
PROKKA_MOD_PART0_05736	COG1846
PROKKA_MOD_PART0_05737	COG1946
PROKKA_MOD_PART0_05738	COG0564
PROKKA_MOD_PART0_05742	COG0664
PROKKA_MOD_PART0_05743	COG1566
PROKKA_MOD_PART0_05744	COG2274
PROKKA_MOD_PART0_05745	COG2274
PROKKA_MOD_PART0_05746	COG0515
PROKKA_MOD_PART0_05748	COG1262
PROKKA_MOD_PART0_05762	COG3756
PROKKA_MOD_PART0_05765	COG1948
PROKKA_MOD_PART0_05774	COG3666
PROKKA_MOD_PART0_05776	COG2080
PROKKA_MOD_PART0_05777	COG2068
PROKKA_MOD_PART0_05778	COG1975
PROKKA_MOD_PART0_05780	COG1959
PROKKA_MOD_PART0_05783	COG0048
PROKKA_MOD_PART0_05796	COG0204
PROKKA_MOD_PART0_05798	COG0655
PROKKA_MOD_PART0_05800	COG0318
PROKKA_MOD_PART0_05801	COG4993
PROKKA_MOD_PART0_05803	COG2963
PROKKA_MOD_PART0_05804	COG1277
PROKKA_MOD_PART0_05805	COG0714
PROKKA_MOD_PART0_05813	COG0635
PROKKA_MOD_PART0_05816	COG1493
PROKKA_MOD_PART0_05819	COG0368
PROKKA_MOD_PART0_05820	COG0406
PROKKA_MOD_PART0_05822	COG1985
PROKKA_MOD_PART0_05823	COG0307
PROKKA_MOD_PART0_05824	COG0108
PROKKA_MOD_PART0_05825	COG0054
PROKKA_MOD_PART0_05826	COG0781
PROKKA_MOD_PART0_05827	COG0611
PROKKA_MOD_PART0_05828	COG1267
PROKKA_MOD_PART0_05830	COG0526
PROKKA_MOD_PART0_05831	COG0596
PROKKA_MOD_PART0_05833	COG1396
PROKKA_MOD_PART0_05842	COG0244
PROKKA_MOD_PART0_05845	COG1595
PROKKA_MOD_PART0_05850	COG4799
PROKKA_MOD_PART0_05856	COG0231
PROKKA_MOD_PART0_05858	COG0489
PROKKA_MOD_PART0_05859	COG1044
PROKKA_MOD_PART0_05864	COG0823
PROKKA_MOD_PART0_05869	COG0590
PROKKA_MOD_PART0_05881	COG3063
PROKKA_MOD_PART0_05889	COG1720
PROKKA_MOD_PART0_05890	COG3637
PROKKA_MOD_PART0_05892	COG0391
PROKKA_MOD_PART0_05893	COG0388
PROKKA_MOD_PART0_05894	COG0290
PROKKA_MOD_PART0_05903	COG2089
PROKKA_MOD_PART0_05909	COG2074
PROKKA_MOD_PART0_05919	COG0320
PROKKA_MOD_PART0_05920	COG0321
PROKKA_MOD_PART0_05922	COG1971
PROKKA_MOD_PART0_05928	COG1137
PROKKA_MOD_PART0_05929	COG1493
PROKKA_MOD_PART0_05930	COG0593
PROKKA_MOD_PART0_05932	COG2226
PROKKA_MOD_PART0_05933	COG1219
PROKKA_MOD_PART0_05934	COG0776
PROKKA_MOD_PART0_05935	COG0124
PROKKA_MOD_PART0_05946	COG0596
PROKKA_MOD_PART0_05953	COG3629
PROKKA_MOD_PART0_05954	COG0657
PROKKA_MOD_PART0_05956	COG1522
PROKKA_MOD_PART0_05959	COG0659
PROKKA_MOD_PART0_05962	COG1825
PROKKA_MOD_PART0_05963	COG0462
PROKKA_MOD_PART0_05964	COG1947
PROKKA_MOD_PART0_05965	COG3017
PROKKA_MOD_PART0_05968	COG0373
PROKKA_MOD_PART0_05969	COG0216
PROKKA_MOD_PART0_05971	COG1987
PROKKA_MOD_PART0_05981	COG0457
PROKKA_MOD_PART0_05987	COG2518
PROKKA_MOD_PART0_05993	COG0482
PROKKA_MOD_PART0_05995	COG0806
PROKKA_MOD_PART0_05996	COG1972
PROKKA_MOD_PART0_05997	COG0572
PROKKA_MOD_PART0_06002	COG0066
PROKKA_MOD_PART0_06004	COG1032
PROKKA_MOD_PART0_06006	COG0275
PROKKA_MOD_PART0_06007	COG2001
PROKKA_MOD_PART0_06010	COG0642
PROKKA_MOD_PART0_06013	COG2199
PROKKA_MOD_PART0_06015	COG0541
PROKKA_MOD_PART0_06018	COG1179
PROKKA_MOD_PART0_06027	COG1917
PROKKA_MOD_PART0_06028	COG0426
PROKKA_MOD_PART0_06046	COG1359
PROKKA_MOD_PART0_06047	COG1544
PROKKA_MOD_PART0_06050	COG1335
PROKKA_MOD_PART0_06051	COG0174
PROKKA_MOD_PART0_06055	COG0413
PROKKA_MOD_PART0_06059	COG3437
PROKKA_MOD_PART0_06062	COG0642
PROKKA_MOD_PART0_06063	COG1211
PROKKA_MOD_PART0_06064	COG0654
PROKKA_MOD_PART0_06065	COG0384
PROKKA_MOD_PART0_06069	COG0385
PROKKA_MOD_PART0_06079	COG1598
PROKKA_MOD_PART0_06083	COG1960
PROKKA_MOD_PART0_06084	COG0771
PROKKA_MOD_PART0_06085	COG0472
PROKKA_MOD_PART0_06087	COG0526
PROKKA_MOD_PART0_06093	COG3718
PROKKA_MOD_PART0_06094	COG1028
PROKKA_MOD_PART0_06095	COG2227
PROKKA_MOD_PART0_06097	COG0189
PROKKA_MOD_PART0_06102	COG0612
PROKKA_MOD_PART0_06103	COG0612
PROKKA_MOD_PART0_06104	COG0385
PROKKA_MOD_PART0_06106	COG0612
PROKKA_MOD_PART0_06115	COG0238
PROKKA_MOD_PART0_06116	COG0629
PROKKA_MOD_PART0_06118	COG2048
PROKKA_MOD_PART0_06123	COG0104
PROKKA_MOD_PART0_06124	COG2885
PROKKA_MOD_PART0_06131	COG0393
PROKKA_MOD_PART0_06136	COG2942
PROKKA_MOD_PART0_06150	COG1670
PROKKA_MOD_PART0_06159	COG1680
PROKKA_MOD_PART0_06163	COG1237
PROKKA_MOD_PART0_06165	COG1433
PROKKA_MOD_PART0_06167	COG0655
PROKKA_MOD_PART0_06170	COG1262
PROKKA_MOD_PART0_06172	COG0184
PROKKA_MOD_PART0_06173	COG4970
PROKKA_MOD_PART0_06176	COG2161
PROKKA_MOD_PART0_06183	COG1024
PROKKA_MOD_PART0_06187	COG2968
PROKKA_MOD_PART0_06193	COG5616
PROKKA_MOD_PART0_06200	COG0243
PROKKA_MOD_PART0_06201	COG4992
PROKKA_MOD_PART0_06203	COG2876
PROKKA_MOD_PART0_06207	COG1770
PROKKA_MOD_PART0_06216	COG5564
PROKKA_MOD_PART0_06217	COG1088
PROKKA_MOD_PART0_06218	COG1091
PROKKA_MOD_PART0_06223	COG5616
PROKKA_MOD_PART0_06228	COG0438
PROKKA_MOD_PART0_06239	COG0299
PROKKA_MOD_PART0_06240	COG4783
PROKKA_MOD_PART0_06249	COG0074
PROKKA_MOD_PART0_06250	COG0236
PROKKA_MOD_PART0_06251	COG1304
PROKKA_MOD_PART0_06252	COG0142
PROKKA_MOD_PART0_06254	COG1961
PROKKA_MOD_PART0_06263	COG0177
PROKKA_MOD_PART0_06270	COG2115
PROKKA_MOD_PART0_06277	COG1837
PROKKA_MOD_PART0_06278	COG0228
PROKKA_MOD_PART0_06279	COG0541
PROKKA_MOD_PART0_06280	COG0511
PROKKA_MOD_PART0_06286	COG4213
PROKKA_MOD_PART0_06287	COG4935
PROKKA_MOD_PART0_06288	COG0300
PROKKA_MOD_PART0_06290	COG4964
PROKKA_MOD_PART0_06292	COG0412
PROKKA_MOD_PART0_06293	COG0673
PROKKA_MOD_PART0_06294	COG3573
PROKKA_MOD_PART0_06296	COG1929
PROKKA_MOD_PART0_06297	COG0174
PROKKA_MOD_PART0_06298	COG0402
PROKKA_MOD_PART0_06299	COG0111
PROKKA_MOD_PART0_06303	COG2264
PROKKA_MOD_PART0_06306	COG4942
PROKKA_MOD_PART0_06308	COG2343
PROKKA_MOD_PART0_06309	COG0006
PROKKA_MOD_PART0_06313	COG0606
PROKKA_MOD_PART0_06320	COG3126
PROKKA_MOD_PART0_06326	COG2755
PROKKA_MOD_PART0_06342	COG2197
PROKKA_MOD_PART0_06354	COG0673
PROKKA_MOD_PART0_06355	COG2159
PROKKA_MOD_PART0_06358	COG1595
PROKKA_MOD_PART0_06361	COG1385
PROKKA_MOD_PART0_06368	COG0125
PROKKA_MOD_PART0_06369	COG1288
PROKKA_MOD_PART0_06375	COG1451
PROKKA_MOD_PART0_06377	COG2204
PROKKA_MOD_PART0_06380	COG0713
PROKKA_MOD_PART0_06381	COG0839
PROKKA_MOD_PART0_06382	COG1143
PROKKA_MOD_PART0_06384	COG0585
PROKKA_MOD_PART0_06395	COG0438
PROKKA_MOD_PART0_06398	COG0420
PROKKA_MOD_PART0_06404	COG0649
PROKKA_MOD_PART0_06406	COG0747
PROKKA_MOD_PART0_06411	COG1127
PROKKA_MOD_PART0_06412	COG1463
PROKKA_MOD_PART0_06416	COG0612
PROKKA_MOD_PART0_06419	COG1404
PROKKA_MOD_PART0_06421	COG0642
PROKKA_MOD_PART0_06427	COG0758
PROKKA_MOD_PART0_06430	COG4962
PROKKA_MOD_PART0_06433	COG1028
PROKKA_MOD_PART0_06437	COG3113
PROKKA_MOD_PART0_06438	COG0684
PROKKA_MOD_PART0_06456	COG1297
PROKKA_MOD_PART0_06459	COG1629
PROKKA_MOD_PART0_06462	COG0342
PROKKA_MOD_PART0_06463	COG0341
PROKKA_MOD_PART0_06464	COG0451
PROKKA_MOD_PART0_06474	COG0760
PROKKA_MOD_PART0_06478	COG1694
PROKKA_MOD_PART0_06480	COG0251
PROKKA_MOD_PART0_06481	COG0045
PROKKA_MOD_PART0_06482	COG1703
PROKKA_MOD_PART0_06483	COG1884
PROKKA_MOD_PART0_06484	COG0346
PROKKA_MOD_PART0_06485	COG0139
PROKKA_MOD_PART0_06486	COG0040
PROKKA_MOD_PART0_06487	COG0436
PROKKA_MOD_PART0_06488	COG0218
PROKKA_MOD_PART0_06489	COG1159
PROKKA_MOD_PART0_06492	COG0780
PROKKA_MOD_PART0_06493	COG0042
PROKKA_MOD_PART0_06496	COG0618
PROKKA_MOD_PART0_06503	COG1176
PROKKA_MOD_PART0_06504	COG1309
PROKKA_MOD_PART0_06505	COG0687
PROKKA_MOD_PART0_06506	COG5285
PROKKA_MOD_PART0_06507	COG0687
PROKKA_MOD_PART0_06508	COG1902
PROKKA_MOD_PART0_06510	COG4764
PROKKA_MOD_PART0_06511	COG0272
PROKKA_MOD_PART0_06514	COG0712
PROKKA_MOD_PART0_06515	COG0221
PROKKA_MOD_PART0_06521	COG1136
PROKKA_MOD_PART0_06525	COG1180
PROKKA_MOD_PART0_06534	COG2230
PROKKA_MOD_PART0_06535	COG0583
PROKKA_MOD_PART0_06537	COG0491
PROKKA_MOD_PART0_06539	COG3344
PROKKA_MOD_PART0_06546	COG4974
PROKKA_MOD_PART0_06547	COG1082
PROKKA_MOD_PART0_06549	COG1372
PROKKA_MOD_PART0_06554	COG2088
PROKKA_MOD_PART0_06556	COG0438
PROKKA_MOD_PART0_06557	COG4972
PROKKA_MOD_PART0_06569	COG1232
PROKKA_MOD_PART0_06572	COG2151
PROKKA_MOD_PART0_06577	COG1595
PROKKA_MOD_PART0_06588	COG0662
PROKKA_MOD_PART0_06593	COG0784
PROKKA_MOD_PART0_06594	COG0642
PROKKA_MOD_PART0_06598	COG3653
PROKKA_MOD_PART0_06605	COG1705
PROKKA_MOD_PART0_06614	COG0717
PROKKA_MOD_PART0_06618	COG3772
PROKKA_MOD_PART0_06631	COG1148
PROKKA_MOD_PART0_06648	COG0203
PROKKA_MOD_PART0_06649	COG3576
PROKKA_MOD_PART0_06663	COG2303
PROKKA_MOD_PART0_06668	COG0160
PROKKA_MOD_PART0_06671	COG0458
PROKKA_MOD_PART0_06672	COG3317
PROKKA_MOD_PART0_06674	COG2863
PROKKA_MOD_PART0_06685	COG1053
PROKKA_MOD_PART0_06688	COG2152
PROKKA_MOD_PART0_06689	COG3181
PROKKA_MOD_PART0_06690	COG4636
PROKKA_MOD_PART0_06694	COG1573
PROKKA_MOD_PART0_06710	COG0358
PROKKA_MOD_PART0_06718	COG0623
PROKKA_MOD_PART0_06723	COG0860
PROKKA_MOD_PART0_06724	COG0674
PROKKA_MOD_PART0_06728	COG0380
PROKKA_MOD_PART0_06729	COG2148
PROKKA_MOD_PART0_06732	COG1862
PROKKA_MOD_PART0_06733	COG0642
PROKKA_MOD_PART0_06740	COG0458
PROKKA_MOD_PART0_06741	COG0284
PROKKA_MOD_PART0_06744	COG1206
PROKKA_MOD_PART0_06745	COG0642
PROKKA_MOD_PART0_06746	COG1459
PROKKA_MOD_PART0_06748	COG2976
PROKKA_MOD_PART0_06749	COG1520
PROKKA_MOD_PART0_06750	COG1160
PROKKA_MOD_PART0_06751	COG2059
PROKKA_MOD_PART0_06752	COG3673
PROKKA_MOD_PART0_06758	COG1014
PROKKA_MOD_PART0_06763	COG0654
PROKKA_MOD_PART0_06764	COG0071
PROKKA_MOD_PART0_06768	COG0329
PROKKA_MOD_PART0_06769	COG0449
PROKKA_MOD_PART0_06770	COG1181
PROKKA_MOD_PART0_06771	COG0436
PROKKA_MOD_PART0_06775	COG3267
PROKKA_MOD_PART0_06782	COG1846
PROKKA_MOD_PART0_06783	COG0493
PROKKA_MOD_PART0_06784	COG0070
PROKKA_MOD_PART0_06791	COG0089
PROKKA_MOD_PART0_06792	COG0090
PROKKA_MOD_PART0_06802	COG1664
PROKKA_MOD_PART0_06804	COG2802
PROKKA_MOD_PART0_06805	COG2414
PROKKA_MOD_PART0_06817	COG4666
PROKKA_MOD_PART0_06819	COG0404
PROKKA_MOD_PART0_06820	COG0449
PROKKA_MOD_PART0_06821	COG2141
PROKKA_MOD_PART0_06822	COG2079
PROKKA_MOD_PART0_06823	COG2606
PROKKA_MOD_PART0_06824	COG0665
PROKKA_MOD_PART0_06825	COG0665
PROKKA_MOD_PART0_06827	COG5598
PROKKA_MOD_PART0_06829	COG4948
PROKKA_MOD_PART0_06830	COG1062
PROKKA_MOD_PART0_06855	COG0451
PROKKA_MOD_PART0_06866	COG1539
PROKKA_MOD_PART0_06871	COG1525
PROKKA_MOD_PART0_06872	COG0784
PROKKA_MOD_PART0_06873	COG1232
PROKKA_MOD_PART0_06878	COG1007
PROKKA_MOD_PART0_06879	COG1008
PROKKA_MOD_PART0_06908	COG4227
PROKKA_MOD_PART0_06912	COG4190
PROKKA_MOD_PART0_06914	COG0404
PROKKA_MOD_PART0_06929	COG0356
PROKKA_MOD_PART0_06934	COG2195
PROKKA_MOD_PART0_06945	COG0149
PROKKA_MOD_PART0_06949	COG0160
PROKKA_MOD_PART0_06951	COG4974
PROKKA_MOD_PART0_06955	COG0541
PROKKA_MOD_PART0_06958	COG4638
PROKKA_MOD_PART0_06959	COG0174
PROKKA_MOD_PART0_06961	COG0845
PROKKA_MOD_PART0_06964	COG2262
PROKKA_MOD_PART0_06965	COG2518
PROKKA_MOD_PART0_06968	COG0463
PROKKA_MOD_PART0_06975	COG1373
PROKKA_MOD_PART0_06987	COG2203
PROKKA_MOD_PART0_06988	COG3476
PROKKA_MOD_PART0_06989	COG2836
PROKKA_MOD_PART0_06991	COG0177
PROKKA_MOD_PART0_06992	COG1415
PROKKA_MOD_PART0_06993	COG2518
PROKKA_MOD_PART0_06994	COG1387
PROKKA_MOD_PART0_06995	COG1313
PROKKA_MOD_PART0_06996	COG2199
PROKKA_MOD_PART0_06997	COG0119
PROKKA_MOD_PART0_06999	COG1918
PROKKA_MOD_PART0_07006	COG0436
PROKKA_MOD_PART0_07010	COG2801
PROKKA_MOD_PART0_07013	COG0394
PROKKA_MOD_PART0_07014	COG2379
PROKKA_MOD_PART0_07015	COG2084
PROKKA_MOD_PART0_07016	COG0728
PROKKA_MOD_PART0_07027	COG1309
PROKKA_MOD_PART0_07028	COG1566
PROKKA_MOD_PART0_07029	COG1131
PROKKA_MOD_PART0_07030	COG0842
PROKKA_MOD_PART0_07031	COG4566
PROKKA_MOD_PART0_07032	COG1734
PROKKA_MOD_PART0_07033	COG0589
PROKKA_MOD_PART0_07034	COG1309
PROKKA_MOD_PART0_07039	COG0270
PROKKA_MOD_PART0_07042	COG0175
PROKKA_MOD_PART0_07048	COG1679
PROKKA_MOD_PART0_07051	COG0304
PROKKA_MOD_PART0_07052	COG0236
PROKKA_MOD_PART0_07053	COG1028
PROKKA_MOD_PART0_07054	COG0332
PROKKA_MOD_PART0_07061	COG0407
PROKKA_MOD_PART0_07075	COG2319
PROKKA_MOD_PART0_07076	COG2319
PROKKA_MOD_PART0_07079	COG3167
PROKKA_MOD_PART0_07085	COG0824
PROKKA_MOD_PART0_07089	COG2141
PROKKA_MOD_PART0_07099	COG0400
PROKKA_MOD_PART0_07113	COG4447
PROKKA_MOD_PART0_07159	COG3328
PROKKA_MOD_PART0_07160	COG1116
PROKKA_MOD_PART0_07164	COG4097
PROKKA_MOD_PART0_07166	COG1770
PROKKA_MOD_PART0_07171	COG0410
PROKKA_MOD_PART0_07176	COG0666
PROKKA_MOD_PART0_07177	COG2337
PROKKA_MOD_PART0_07179	COG0853
PROKKA_MOD_PART0_07181	COG0546
PROKKA_MOD_PART0_07190	COG4952
PROKKA_MOD_PART0_07191	COG0637
PROKKA_MOD_PART0_07194	COG1028
PROKKA_MOD_PART0_07197	COG3836
PROKKA_MOD_PART0_07199	COG0020
PROKKA_MOD_PART0_07200	COG0233
PROKKA_MOD_PART0_07201	COG0528
PROKKA_MOD_PART0_07202	COG0264
PROKKA_MOD_PART0_07204	COG1092
PROKKA_MOD_PART0_07205	COG1393
PROKKA_MOD_PART0_07206	COG1305
PROKKA_MOD_PART0_07212	COG0520
PROKKA_MOD_PART0_07222	COG2834
PROKKA_MOD_PART0_07227	COG4181
PROKKA_MOD_PART0_07232	COG4886
PROKKA_MOD_PART0_07236	COG1090
PROKKA_MOD_PART0_07240	COG0318
PROKKA_MOD_PART0_07242	COG0652
PROKKA_MOD_PART0_07244	COG0072
PROKKA_MOD_PART0_07247	COG0547
PROKKA_MOD_PART0_07248	COG3871
PROKKA_MOD_PART0_07250	COG1575
PROKKA_MOD_PART0_07251	COG0842
PROKKA_MOD_PART0_07252	COG1131
PROKKA_MOD_PART0_07255	COG3197
PROKKA_MOD_PART0_07262	COG0775
PROKKA_MOD_PART0_07266	COG0402
PROKKA_MOD_PART0_07268	COG0438
PROKKA_MOD_PART0_07276	COG4974
PROKKA_MOD_PART0_07281	COG0578
PROKKA_MOD_PART0_07282	COG0451
PROKKA_MOD_PART0_07283	COG0110
PROKKA_MOD_PART0_07286	COG0280
PROKKA_MOD_PART0_07287	COG0282
PROKKA_MOD_PART0_07296	COG2197
PROKKA_MOD_PART0_07300	COG2025
PROKKA_MOD_PART0_07301	COG2086
PROKKA_MOD_PART0_07310	COG1088
PROKKA_MOD_PART0_07314	COG1778
PROKKA_MOD_PART0_07317	COG0655
PROKKA_MOD_PART0_07323	COG0616
PROKKA_MOD_PART0_07325	COG3415
PROKKA_MOD_PART0_07327	COG3666
PROKKA_MOD_PART0_07333	COG4974
PROKKA_MOD_PART0_07334	COG4974
PROKKA_MOD_PART0_07335	COG4974
PROKKA_MOD_PART0_07339	COG3772
PROKKA_MOD_PART0_07340	COG3267
PROKKA_MOD_PART0_07341	COG1520
PROKKA_MOD_PART0_07342	COG0604
PROKKA_MOD_PART0_07343	COG2173
PROKKA_MOD_PART0_07344	COG2008
PROKKA_MOD_PART0_07345	COG0604
PROKKA_MOD_PART0_07348	COG0673
PROKKA_MOD_PART0_07351	COG1671
PROKKA_MOD_PART0_07353	COG1520
PROKKA_MOD_PART0_07365	COG0044
PROKKA_MOD_PART0_07370	COG1453
PROKKA_MOD_PART0_07371	COG1680
PROKKA_MOD_PART0_07373	COG1520
PROKKA_MOD_PART0_07375	COG0356
PROKKA_MOD_PART0_07377	COG0711
PROKKA_MOD_PART0_07378	COG0712
PROKKA_MOD_PART0_07383	COG0432
PROKKA_MOD_PART0_07385	COG0266
PROKKA_MOD_PART0_07386	COG0231
PROKKA_MOD_PART0_07396	COG1538
PROKKA_MOD_PART0_07399	COG0848
PROKKA_MOD_PART0_07402	COG0234
PROKKA_MOD_PART0_07404	COG5563
PROKKA_MOD_PART0_07407	COG0635
PROKKA_MOD_PART0_07409	COG5598
PROKKA_MOD_PART0_07410	COG5598
PROKKA_MOD_PART0_07411	COG0601
PROKKA_MOD_PART0_07412	COG1173
PROKKA_MOD_PART0_07413	COG1123
PROKKA_MOD_PART0_07414	COG0589
PROKKA_MOD_PART0_07415	COG3119
PROKKA_MOD_PART0_07417	COG5010
PROKKA_MOD_PART0_07418	COG0177
PROKKA_MOD_PART0_07419	COG0834
PROKKA_MOD_PART0_07421	COG1249
PROKKA_MOD_PART0_07427	COG2199
PROKKA_MOD_PART0_07430	COG1138
PROKKA_MOD_PART0_07431	COG2332
PROKKA_MOD_PART0_07432	COG1064
PROKKA_MOD_PART0_07433	COG2057
PROKKA_MOD_PART0_07434	COG2057
PROKKA_MOD_PART0_07435	COG1788
PROKKA_MOD_PART0_07436	COG1545
PROKKA_MOD_PART0_07437	COG0183
