Id	Description
2.1.1.216	tRNA (guanine(26)-N(2))-dimethyltransferase
2.1.1.217	tRNA (adenine(22)-N(1))-methyltransferase
2.1.1.219	tRNA (adenine(57)-N(1)/adenine(58)-N(1))-methyltransferase
2.1.1.220	tRNA (adenine(58)-N(1))-methyltransferase
2.1.1.221	tRNA (guanine(9)-N(1))-methyltransferase
2.1.1.222	2-polyprenyl-6-hydroxyphenol methylase
2.1.1.223	tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase
2.1.1.225	tRNA:m(4)X modification enzyme
2.1.1.226	23S rRNA (cytidine(1920)-2'-O)-methyltransferase
2.1.1.227	16S rRNA (cytidine(1409)-2'-O)-methyltransferase
2.1.1.228	tRNA (guanine(37)-N(1))-methyltransferase
2.1.1.229	tRNA (carboxymethyluridine(34)-5-O)-methyltransferase
2.1.1.242	16S rRNA (guanine(1516)-N(2))-methyltransferase
2.1.1.243	2-ketoarginine methyltransferase
2.1.1.244	Protein N-terminal methyltransferase
2.1.1.245	5-methyltetrahydrosarcinapterin:corrinoid/iron-sulfur protein Co-methyltransferase
2.1.1.248	[Methylamine--corrinoid protein] Co-methyltransferase
2.1.1.249	[Dimethylamine--corrinoid protein] Co-methyltransferase
2.1.1.250	[Trimethylamine--corrinoid protein] Co-methyltransferase
2.1.1.254	Erythromycin 3''-O-methyltransferase
2.1.1.255	Geranyl diphosphate 2-C-methyltransferase
2.1.1.257	tRNA (pseudouridine(54)-N(1))-methyltransferase
2.1.1.260	rRNA small subunit pseudouridine methyltransferase Nep1
2.1.1.265	Tellurite methyltransferase
2.1.1.266	23S rRNA (adenine(2030)-N(6))-methyltransferase
2.1.1.268	tRNA(Thr) (cytosine(32)-N(3))-methyltransferase
2.1.1.33	tRNA (guanine(46)-N(7))-methyltransferase
2.1.1.37	DNA (cytosine-5-)-methyltransferase
2.1.1.41	Sterol 24-C-methyltransferase
2.1.1.43	Histone-lysine N-methyltransferase
2.1.1.45	Thymidylate synthase
2.1.1.56	mRNA (guanine-N(7)-)-methyltransferase
2.1.1.57	Methyltransferase cap1
2.1.1.61	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase
2.1.1.62	mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase
2.1.1.63	Methylated-DNA--[protein]-cysteine S-methyltransferase
2.1.1.64	3-demethylubiquinol 3-O-methyltransferase
2.1.1.67	Thiopurine S-methyltransferase
2.1.1.71	Phosphatidyl-N-methylethanolamine N-methyltransferase
2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)
2.1.1.74	Methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing)
2.1.1.77	Protein-L-isoaspartate(D-aspartate) O-methyltransferase
2.1.1.79	Cyclopropane-fatty-acyl-phospholipid synthase
2.1.1.8	Histamine N-methyltransferase
2.1.1.80	Protein-glutamate O-methyltransferase
2.1.1.86	Tetrahydromethanopterin S-methyltransferase
2.1.1.90	Methanol--corrinoid protein Co-methyltransferase
2.1.1.95	Tocopherol O-methyltransferase
2.1.1.98	Diphthine synthase
2.1.2.-	Hydroxymethyl-, formyl- and related transferases.
2.1.2.1	Glycine hydroxymethyltransferase
2.1.2.10	Aminomethyltransferase
2.1.2.11	3-methyl-2-oxobutanoate hydroxymethyltransferase
2.1.2.2	Phosphoribosylglycinamide formyltransferase
2.1.2.3	Phosphoribosylaminoimidazolecarboxamide formyltransferase
2.1.2.5	Glutamate formimidoyltransferase
2.1.2.9	Methionyl-tRNA formyltransferase
2.1.3.-	Carboxy- and carbamoyltransferases.
2.1.3.2	Aspartate carbamoyltransferase
2.1.3.3	Ornithine carbamoyltransferase
2.1.4.-	Amidinotransferases.
2.1.4.1	Glycine amidinotransferase
2.10.-.-	Transferring molybdenum- or tungsten-containing groups.
2.10.1.-	Molybdenumtransferases or tungstentransferases with sulfide groups as acceptors.
2.10.1.1	Molybdopterin molybdotransferase
2.2.-.-	Transferring aldehyde or ketonic groups.
2.2.1.-	Transketolases and transaldolases.
2.2.1.1	Transketolase
2.2.1.2	Transaldolase
2.2.1.6	Acetolactate synthase
2.2.1.7	1-deoxy-D-xylulose-5-phosphate synthase
2.2.1.9	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase
2.3.-.-	Acyltransferases.
2.3.1.-	Transferring groups other than amino-acyl groups.
2.3.1.1	Amino-acid N-acetyltransferase
2.3.1.101	Formylmethanofuran--tetrahydromethanopterin N-formyltransferase
2.3.1.109	Arginine N-succinyltransferase
2.3.1.117	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
2.3.1.118	N-hydroxyarylamine O-acetyltransferase
2.3.1.12	Dihydrolipoyllysine-residue acetyltransferase
2.3.1.128	Ribosomal-protein-alanine N-acetyltransferase
2.3.1.129	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
2.3.1.133	Shikimate O-hydroxycinnamoyltransferase
2.3.1.135	Phosphatidylcholine--retinol O-acyltransferase
2.3.1.137	Carnitine O-octanoyltransferase
2.3.1.15	Glycerol-3-phosphate 1-O-acyltransferase
2.3.1.157	Glucosamine-1-phosphate N-acetyltransferase
2.3.1.164	Isopenicillin-N N-acyltransferase
2.3.1.165	6-methylsalicylic acid synthase
2.3.1.176	Propanoyl-CoA C-acyltransferase
2.3.1.178	Diaminobutyrate acetyltransferase
2.3.1.179	Beta-ketoacyl-[acyl-carrier-protein] synthase II
2.3.1.180	Beta-ketoacyl-[acyl-carrier-protein] synthase III
2.3.1.181	Lipoyl(octanoyl) transferase
2.3.1.183	Phosphinothricin acetyltransferase
2.3.1.184	Acyl-homoserine-lactone synthase
2.3.1.187	Acetyl-S-ACP:malonate ACP transferase
2.3.1.19	Phosphate butyryltransferase
2.3.1.191	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
2.3.1.193	tRNA(Met) cytidine acetyltransferase
2.3.1.199	Very-long-chain 3-oxoacyl-CoA synthase
2.3.1.20	Diacylglycerol O-acyltransferase
2.3.1.210	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase
2.3.1.22	2-acylglycerol O-acyltransferase
2.3.1.222	Phosphate propanoyltransferase
2.3.1.23	1-acylglycerophosphocholine O-acyltransferase
2.3.1.24	Sphingosine N-acyltransferase
2.3.1.26	Sterol O-acyltransferase
2.3.1.28	Chloramphenicol O-acetyltransferase
2.3.1.30	Serine O-acetyltransferase
2.3.1.31	Homoserine O-acetyltransferase
2.3.1.35	Glutamate N-acetyltransferase
2.3.1.39	[Acyl-carrier-protein] S-malonyltransferase
2.3.1.41	Beta-ketoacyl-[acyl-carrier-protein] synthase I
2.3.1.46	Homoserine O-succinyltransferase
2.3.1.48	Histone acetyltransferase
2.3.1.51	1-acylglycerol-3-phosphate O-acyltransferase
2.3.1.54	Formate C-acetyltransferase
2.3.1.57	Diamine N-acetyltransferase
2.3.1.6	Choline O-acetyltransferase
2.3.1.60	Gentamicin 3-N-acetyltransferase
2.3.1.67	1-alkylglycerophosphocholine O-acetyltransferase
2.3.1.7	Carnitine O-acetyltransferase
2.3.1.74	Naringenin-chalcone synthase
2.3.1.75	Long-chain-alcohol O-fatty-acyltransferase
2.3.1.78	Heparan-alpha-glucosaminide N-acetyltransferase
2.3.1.8	Phosphate acetyltransferase
2.3.1.81	Aminoglycoside N(3)-acetyltransferase
2.3.1.82	Aminoglycoside 6'-N-acetyltransferase
2.3.1.85	Fatty-acid synthase
2.3.1.86	Fatty-acyl-CoA synthase
2.3.1.88	Peptide alpha-N-acetyltransferase
2.3.1.9	Acetyl-CoA C-acetyltransferase
2.3.1.97	Glycylpeptide N-tetradecanoyltransferase
2.3.2.-	Aminoacyltransferases.
2.3.2.13	Protein-glutamine gamma-glutamyltransferase
2.3.2.15	Glutathione gamma-glutamylcysteinyltransferase
2.3.2.2	Gamma-glutamyltransferase
2.3.2.3	Lysyltransferase
2.3.2.4	Gamma-glutamylcyclotransferase
2.3.2.5	Glutaminyl-peptide cyclotransferase
2.3.2.6	Leucyltransferase
2.3.2.8	Arginyltransferase
2.3.3.-	Acyl groups converted into alkyl groups on transfer.
2.3.3.1	Citrate (Si)-synthase
2.3.3.10	Hydroxymethylglutaryl-CoA synthase
2.3.3.13	2-isopropylmalate synthase
2.3.3.9	Malate synthase
2.4.-.-	Glycosyltransferases.
2.4.1.-	Hexosyltransferases.
2.4.1.1	Glycogen phosphorylase
2.4.1.10	Levansucrase
2.4.1.101	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
2.4.1.109	Dolichyl-phosphate-mannose--protein mannosyltransferase
2.4.1.119	Transferred entry: 2.4.99.18
2.4.1.12	Cellulose synthase (UDP-forming)
2.4.1.122	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase
2.4.1.129	Peptidoglycan glycosyltransferase
2.4.1.13	Sucrose synthase
2.4.1.133	Xylosylprotein 4-beta-galactosyltransferase
2.4.1.134	Galactosylxylosylprotein 3-beta-galactosyltransferase
2.4.1.135	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase
2.4.1.141	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase
2.4.1.143	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase
2.4.1.144	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
2.4.1.145	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
2.4.1.15	Alpha,alpha-trehalose-phosphate synthase (UDP-forming)
2.4.1.155	Alpha-1,6-mannosyl-glycoprotein 6-beta-N-acetylglucosaminyltransferase
2.4.1.157	1,2-diacylglycerol 3-glucosyltransferase
2.4.1.16	Chitin synthase
2.4.1.166	Raffinose--raffinose alpha-galactosyltransferase
2.4.1.17	Glucuronosyltransferase
2.4.1.175	Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N- acetylgalactosaminyltransferase
2.4.1.18	1,4-alpha-glucan branching enzyme
2.4.1.182	Lipid-A-disaccharide synthase
2.4.1.186	Glycogenin glucosyltransferase
2.4.1.187	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D- mannosaminyltransferase
2.4.1.198	Phosphatidylinositol N-acetylglucosaminyltransferase
2.4.1.201	Alpha-1,6-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
2.4.1.207	Xyloglucan:xyloglucosyl transferase
2.4.1.21	Starch synthase
2.4.1.211	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
2.4.1.217	Mannosyl-3-phosphoglycerate synthase
2.4.1.221	Peptide-O-fucosyltransferase
2.4.1.222	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
2.4.1.223	Glucuronyl-galactosyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase
2.4.1.224	Glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N- acetylglucosaminyltransferase
2.4.1.225	N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase
2.4.1.226	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase
2.4.1.227	Undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase
2.4.1.228	Lactosylceramide 4-alpha-galactosyltransferase
2.4.1.232	Initiation-specific alpha-1,6-mannosyltransferase
2.4.1.241	Digalactosyldiacylglycerol synthase
2.4.1.245	Alpha,alpha-trehalose synthase
2.4.1.25	4-alpha-glucanotransferase
2.4.1.251	GlcA-beta-(1->2)-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1- diphospho-ditrans,octacis-undecaprenol 4-beta-mannosyltransferase
2.4.1.256	Dolichyl-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-dolichol alpha-1,2- glucosyltransferase
2.4.1.258	Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
2.4.1.259	Dolichyl-P-Man:Man(6)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
2.4.1.260	Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase
2.4.1.261	Dolichyl-P-Man:Man(8)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase
2.4.1.264	D-man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphosphoundecaprenol 2-beta-glucuronyltransferase
2.4.1.265	Dolichyl-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichol alpha-1,3- glucosyltransferase
2.4.1.267	Dolichyl-P-Glc:Man(9)GlcNAc(2)-PP-dolichol alpha-1,3-glucosyltransferase
2.4.1.281	4-O-beta-D-mannosyl-D-glucose phosphorylase
2.4.1.34	1,3-beta-glucan synthase
2.4.1.38	Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase
2.4.1.41	Polypeptide N-acetylgalactosaminyltransferase
2.4.1.43	Polygalacturonate 4-alpha-galacturonosyltransferase
2.4.1.5	Dextransucrase
2.4.1.50	Procollagen galactosyltransferase
2.4.1.52	Poly(glycerol-phosphate) alpha-glucosyltransferase
2.4.1.56	Lipopolysaccharide N-acetylglucosaminyltransferase
2.4.1.66	Procollagen glucosyltransferase
2.4.1.67	Galactinol--raffinose galactosyltransferase
2.4.1.68	Glycoprotein 6-alpha-L-fucosyltransferase
2.4.1.69	Galactoside 2-alpha-L-fucosyltransferase
2.4.1.80	Ceramide glucosyltransferase
2.4.1.82	Galactinol--sucrose galactosyltransferase
2.4.1.83	Dolichyl-phosphate beta-D-mannosyltransferase
2.4.1.90	N-acetyllactosamine synthase
2.4.2.-	Pentosyltransferases.
2.4.2.1	Purine-nucleoside phosphorylase
2.4.2.10	Orotate phosphoribosyltransferase
2.4.2.11	Transferred entry: 6.3.4.21
2.4.2.14	Amidophosphoribosyltransferase
2.4.2.17	ATP phosphoribosyltransferase
2.4.2.18	Anthranilate phosphoribosyltransferase
2.4.2.19	Nicotinate-nucleotide diphosphorylase (carboxylating)
2.4.2.21	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
2.4.2.22	Xanthine phosphoribosyltransferase
2.4.2.28	S-methyl-5'-thioadenosine phosphorylase
2.4.2.29	tRNA-guanine(34) transglycosylase
2.4.2.3	Uridine phosphorylase
2.4.2.30	NAD(+) ADP-ribosyltransferase
2.4.2.31	NAD(+)--protein-arginine ADP-ribosyltransferase
2.4.2.36	NAD(+)--diphthamide ADP-ribosyltransferase
2.4.2.37	NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase
2.4.2.38	Glycoprotein 2-beta-D-xylosyltransferase
2.4.2.4	Thymidine phosphorylase
2.4.2.43	Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase
2.4.2.46	Galactan 5-O-arabinofuranosyltransferase
2.4.2.47	Arabinofuranan 3-O-arabinosyltransferase
2.4.2.6	Nucleoside deoxyribosyltransferase
2.4.2.7	Adenine phosphoribosyltransferase
2.4.2.8	Hypoxanthine phosphoribosyltransferase
2.4.2.9	Uracil phosphoribosyltransferase
2.4.99.-	Transferring other glycosyl groups.
2.4.99.12	Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.13	(Kdo)-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.14	(Kdo)(2)-lipid IV(A) (2-8) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.15	(Kdo)(3)-lipid IV(A) (2-4) 3-deoxy-D-manno-octulosonic acid transferase
2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
2.4.99.18	Dolichyl-diphosphooligosaccharide--protein glycotransferase
2.5.-.-	Transferring alkyl or aryl groups, other than methyl groups.
2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups.
2.5.1.1	Dimethylallyltranstransferase
2.5.1.10	(2E,6E)-farnesyl diphosphate synthase
2.5.1.15	Dihydropteroate synthase
2.5.1.16	Spermidine synthase
2.5.1.17	Cob(I)yrinic acid a,c-diamide adenosyltransferase
2.5.1.18	Glutathione transferase
2.5.1.19	3-phosphoshikimate 1-carboxyvinyltransferase
2.5.1.2	Thiamine pyridinylase
2.5.1.21	Squalene synthase
2.5.1.26	Alkylglycerone-phosphate synthase
2.5.1.3	Thiamine phosphate synthase
2.5.1.30	Heptaprenyl diphosphate synthase
2.5.1.31	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl- diphosphate specific)
2.5.1.32	15-cis-phytoene synthase
2.5.1.44	Homospermidine synthase
2.5.1.46	Deoxyhypusine synthase
2.5.1.47	Cysteine synthase
2.5.1.49	O-acetylhomoserine aminocarboxypropyltransferase
2.5.1.54	3-deoxy-7-phosphoheptulonate synthase
2.5.1.55	3-deoxy-8-phosphooctulonate synthase
2.5.1.56	N-acetylneuraminate synthase
2.5.1.58	Protein farnesyltransferase
2.5.1.59	Protein geranylgeranyltransferase type I
2.5.1.6	Methionine adenosyltransferase
2.5.1.60	Protein geranylgeranyltransferase type II
2.5.1.61	Hydroxymethylbilane synthase
2.5.1.62	Chlorophyll synthase
2.5.1.7	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
2.5.1.72	Quinolinate synthase
2.5.1.74	1,4-dihydroxy-2-naphthoate polyprenyltransferase
2.5.1.75	tRNA dimethylallyltransferase
2.5.1.77	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase
2.5.1.78	6,7-dimethyl-8-ribityllumazine synthase
2.5.1.87	Ditrans,polycis-polyprenyl diphosphate synthase ((2E,6E)-farnesyl diphosphate specific)
2.5.1.9	Riboflavin synthase
2.5.1.91	All-trans-decaprenyl-diphosphate synthase
2.6.-.-	Transferring nitrogenous groups.
2.6.1.-	Transaminases.
2.6.1.1	Aspartate transaminase
2.6.1.11	Acetylornithine transaminase
2.6.1.16	Glutamine--fructose-6-phosphate transaminase (isomerizing)
2.6.1.19	4-aminobutyrate--2-oxoglutarate transaminase
2.6.1.42	Branched-chain-amino-acid transaminase
2.6.1.44	Alanine--glyoxylate transaminase
2.6.1.45	Serine--glyoxylate transaminase
2.6.1.51	Serine--pyruvate transaminase
2.6.1.52	Phosphoserine transaminase
2.6.1.62	Adenosylmethionine--8-amino-7-oxononanoate transaminase
2.6.1.64	Glutamine--phenylpyruvate transaminase
2.6.1.66	Valine--pyruvate transaminase
2.6.1.7	Kynurenine--oxoglutarate transaminase
2.6.1.76	Diaminobutyrate--2-oxoglutarate transaminase
2.6.1.9	Histidinol-phosphate transaminase
2.6.1.97	Archaeosine synthase
2.6.2.-	Amidinotransferases.
2.6.3.-	Oximinotransferases.
2.6.99.-	Transferring other nitrogenous groups.
2.6.99.2	Pyridoxine 5'-phosphate synthase
2.7.-.-	Transferring phosphorus-containing groups.
2.7.1.-	Phosphotransferases with an alcohol group as acceptor.
2.7.1.1	Hexokinase
2.7.1.100	S-methyl-5-thioribose kinase
2.7.1.107	Diacylglycerol kinase (ATP)
2.7.1.108	Dolichol kinase
2.7.1.11	6-phosphofructokinase
2.7.1.12	Gluconokinase
2.7.1.127	Inositol-trisphosphate 3-kinase
2.7.1.130	Tetraacyldisaccharide 4'-kinase
2.7.1.134	Inositol-tetrakisphosphate 1-kinase
2.7.1.14	Sedoheptulokinase
2.7.1.140	Inositol-tetrakisphosphate 5-kinase
2.7.1.146	ADP-specific phosphofructokinase
2.7.1.147	ADP-specific glucokinase
2.7.1.148	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
2.7.1.15	Ribokinase
2.7.1.150	1-phosphatidylinositol-3-phosphate 5-kinase
2.7.1.151	Inositol-polyphosphate multikinase
2.7.1.156	Adenosylcobinamide kinase
2.7.1.158	Inositol-pentakisphosphate 2-kinase
2.7.1.159	Inositol-1,3,4-trisphosphate 5/6-kinase
2.7.1.16	Ribulokinase
2.7.1.160	2'-phosphotransferase
2.7.1.161	CTP-dependent riboflavin kinase
2.7.1.162	N-acetylhexosamine 1-kinase
2.7.1.164	O-phosphoseryl-tRNA(Sec) kinase
2.7.1.167	D-glycero-beta-D-manno-heptose-7-phosphate kinase
2.7.1.168	D-glycero-alpha-D-manno-heptose-7-phosphate kinase
2.7.1.169	Pantoate kinase
2.7.1.17	Xylulokinase
2.7.1.170	Anhydro-N-acetylmuramic acid kinase
2.7.1.172	Protein-ribulosamine 3-kinase
2.7.1.173	Nicotinate riboside kinase
2.7.1.174	Diacylglycerol kinase (CTP)
2.7.1.176	UDP-N-acetylglucosamine kinase
2.7.1.177	L-threonine kinase
2.7.1.19	Phosphoribulokinase
2.7.1.2	Glucokinase
2.7.1.20	Adenosine kinase
2.7.1.21	Thymidine kinase
2.7.1.22	Ribosylnicotinamide kinase
2.7.1.23	NAD(+) kinase
2.7.1.24	Dephospho-CoA kinase
2.7.1.25	Adenylyl-sulfate kinase
2.7.1.26	Riboflavin kinase
2.7.1.29	Glycerone kinase
2.7.1.3	Ketohexokinase
2.7.1.30	Glycerol kinase
2.7.1.31	Glycerate 3-kinase
2.7.1.32	Choline kinase
2.7.1.33	Pantothenate kinase
2.7.1.35	Pyridoxal kinase
2.7.1.36	Mevalonate kinase
2.7.1.37	Transferred entry: 2.7.11.1, 2.7.11.8, 2.7.11.9, 2.7.11.10, 2.7.11.11, 2.7.11.12, 2.7.11.13, 2.7.11.21, 2.7.11.22, 2.7.11.24, 2.7.11.25, 2.7.11.30 and 2.7.12.1
2.7.1.39	Homoserine kinase
2.7.1.4	Fructokinase
2.7.1.40	Pyruvate kinase
2.7.1.43	Glucuronokinase
2.7.1.48	Uridine kinase
2.7.1.49	Hydroxymethylpyrimidine kinase
2.7.1.50	Hydroxyethylthiazole kinase
2.7.1.52	Fucokinase
2.7.1.56	1-phosphofructokinase
2.7.1.58	2-dehydro-3-deoxygalactonokinase
2.7.1.59	N-acetylglucosamine kinase
2.7.1.6	Galactokinase
2.7.1.63	Polyphosphate--glucose phosphotransferase
2.7.1.67	1-phosphatidylinositol 4-kinase
2.7.1.68	1-phosphatidylinositol-4-phosphate 5-kinase
2.7.1.69	Transferred entry: 2.7.1.191
2.7.1.71	Shikimate kinase
2.7.1.72	Streptomycin 6-kinase
2.7.1.78	Polynucleotide 5'-hydroxyl-kinase
2.7.1.82	Ethanolamine kinase
2.7.1.83	Pseudouridine kinase
2.7.1.87	Streptomycin 3''-kinase
2.7.1.89	Thiamine kinase
2.7.1.91	Sphingosine kinase
2.7.1.92	5-dehydro-2-deoxygluconokinase
2.7.1.95	Kanamycin kinase
2.7.10.-	Protein-tyrosine kinases.
2.7.10.1	Receptor protein-tyrosine kinase
2.7.10.2	Non-specific protein-tyrosine kinase
2.7.11.-	Protein-serine/threonine kinases.
2.7.11.1	Non-specific serine/threonine protein kinase
2.7.11.10	I-kappa-B kinase
2.7.11.11	cAMP-dependent protein kinase
2.7.11.12	cGMP-dependent protein kinase
2.7.11.13	Protein kinase C
2.7.11.17	Calcium/calmodulin-dependent protein kinase
2.7.11.18	[Myosin light-chain] kinase
2.7.11.19	Phosphorylase kinase
2.7.11.20	[Elongation factor 2] kinase
2.7.11.21	Polo kinase
2.7.11.22	Cyclin-dependent kinase
2.7.11.23	[RNA-polymerase]-subunit kinase
2.7.11.24	Mitogen-activated protein kinase
2.7.11.25	Mitogen-activated protein kinase kinase kinase
2.7.11.30	Receptor protein serine/threonine kinase
2.7.11.5	[Isocitrate dehydrogenase (NADP(+))] kinase
2.7.11.7	[Myosin heavy-chain] kinase
2.7.12.-	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues).
2.7.12.1	Dual-specificity kinase
2.7.12.2	Mitogen-activated protein kinase kinase
2.7.13.-	Protein-histidine kinases.
2.7.13.1	Protein-histidine pros-kinase
2.7.13.3	Histidine kinase
2.7.14.-	Protein-arginine kinases.
2.7.2.-	Phosphotransferases with a carboxy group as acceptor.
2.7.2.1	Acetate kinase
2.7.2.11	Glutamate 5-kinase
2.7.2.2	Carbamate kinase
2.7.2.3	Phosphoglycerate kinase
2.7.2.4	Aspartate kinase
2.7.2.7	Butyrate kinase
2.7.2.8	Acetylglutamate kinase
2.7.3.-	Phosphotransferases with a nitrogenous group as acceptor.
2.7.3.9	Phosphoenolpyruvate--protein phosphotransferase
2.7.4.-	Phosphotransferases with a phosphate group as acceptor.
2.7.4.1	Polyphosphate kinase
2.7.4.14	UMP/CMP kinase
2.7.4.16	Thiamine-phosphate kinase
2.7.4.2	Phosphomevalonate kinase
2.7.4.21	Inositol-hexakisphosphate kinase
2.7.4.22	UMP kinase
2.7.4.23	Ribose 1,5-bisphosphate phosphokinase
2.7.4.24	Diphosphoinositol-pentakisphosphate kinase
2.7.4.26	Isopentenyl phosphate kinase
2.7.4.3	Adenylate kinase
2.7.4.6	Nucleoside-diphosphate kinase
2.7.4.7	Phosphooxymethylpyrimidine kinase
2.7.4.8	Guanylate kinase
2.7.4.9	dTMP kinase
2.7.5.-	Phosphotransferases with regeneration of donors, apparently catalyzing intramolecular transfers.
2.7.6.-	Diphosphotransferases.
2.7.6.1	Ribose-phosphate diphosphokinase
2.7.6.2	Thiamine diphosphokinase
2.7.6.3	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
2.7.6.5	GTP diphosphokinase
2.7.7.-	Nucleotidyltransferases.
2.7.7.1	Nicotinamide-nucleotide adenylyltransferase
2.7.7.12	UDP-glucose--hexose-1-phosphate uridylyltransferase
2.7.7.13	Mannose-1-phosphate guanylyltransferase
2.7.7.18	Nicotinate-nucleotide adenylyltransferase
2.7.7.19	Polynucleotide adenylyltransferase
2.7.7.2	FAD synthetase
2.7.7.23	UDP-N-acetylglucosamine diphosphorylase
2.7.7.24	Glucose-1-phosphate thymidylyltransferase
2.7.7.27	Glucose-1-phosphate adenylyltransferase
2.7.7.3	Pantetheine-phosphate adenylyltransferase
2.7.7.30	Fucose-1-phosphate guanylyltransferase
2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase
2.7.7.4	Sulfate adenylyltransferase
2.7.7.41	Phosphatidate cytidylyltransferase
2.7.7.42	[Glutamine synthetase] adenylyltransferase
2.7.7.43	N-acylneuraminate cytidylyltransferase
2.7.7.47	Streptomycin 3''-adenylyltransferase
2.7.7.48	RNA-directed RNA polymerase
2.7.7.49	RNA-directed DNA polymerase
2.7.7.50	mRNA guanylyltransferase
2.7.7.53	ATP adenylyltransferase
2.7.7.56	tRNA nucleotidyltransferase
2.7.7.58	(2,3-dihydroxybenzoyl)adenylate synthase
2.7.7.59	[Protein-PII] uridylyltransferase
2.7.7.6	DNA-directed RNA polymerase
2.7.7.60	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
2.7.7.61	Citrate lyase holo-[acyl-carrier protein] synthase
2.7.7.62	Adenosylcobinamide-phosphate guanylyltransferase
2.7.7.63	Transferred entry: 6.3.1.20
2.7.7.66	Malonate decarboxylase holo-[acyl-carrier protein] synthase
2.7.7.68	2-phospho-L-lactate guanylyltransferase
2.7.7.7	DNA-directed DNA polymerase
2.7.7.70	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase
2.7.7.72	CCA tRNA nucleotidyltransferase
2.7.7.75	Molybdopterin adenylyltransferase
2.7.7.76	Molybdenum cofactor cytidylyltransferase
2.7.7.77	Molybdenum cofactor guanylyltransferase
2.7.7.78	GDP-D-glucose phosphorylase
2.7.7.79	tRNA(His) guanylyltransferase
2.7.7.8	Polyribonucleotide nucleotidyltransferase
2.7.7.9	UTP--glucose-1-phosphate uridylyltransferase
2.7.8.-	Transferases for other substituted phosphate groups.
2.7.8.1	Ethanolaminephosphotransferase
2.7.8.11	CDP-diacylglycerol--inositol 3-phosphatidyltransferase
