Id	Name	Description
PF02803	Thiolase_C	Thiolase, C-terminal domain
PF02805	Ada_Zn_binding	Metal binding domain of Ada
PF02806	Alpha-amylase_C	Alpha amylase, C-terminal all-beta domain
PF02807	ATP-gua_PtransN	ATP:guanido phosphotransferase, N-terminal domain
PF02809	UIM	Ubiquitin interaction motif
PF02810	SEC-C	SEC-C motif
PF02811	PHP	PHP domain
PF02812	ELFV_dehydrog_N	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain
PF02814	UreE_N	UreE urease accessory protein, N-terminal domain
PF02815	MIR	MIR domain
PF02816	Alpha_kinase	Alpha-kinase family
PF02817	E3_binding	e3 binding domain
PF02820	MBT	mbt repeat
PF02822	Antistasin	Antistasin family
PF02823	ATP-synt_DE_N	ATP synthase, Delta/Epsilon chain, beta-sandwich domain
PF02824	TGS	TGS domain
PF02825	WWE	WWE domain
PF02826	2-Hacid_dh_C	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF02830	V4R	V4R domain
PF02831	gpW	gpW
PF02833	DHHA2	DHHA2 domain
PF02834	LigT_PEase	LigT like Phosphoesterase
PF02836	Glyco_hydro_2_C	Glycosyl hydrolases family 2, TIM barrel domain
PF02837	Glyco_hydro_2_N	Glycosyl hydrolases family 2, sugar binding domain
PF02838	Glyco_hydro_20b	Glycosyl hydrolase family 20, domain 2
PF02839	CBM_5_12	Carbohydrate binding domain
PF02840	Prp18	Prp18 domain
PF02841	GBP_C	Guanylate-binding protein, C-terminal domain
PF02843	GARS_C	Phosphoribosylglycinamide synthetase, C domain
PF02844	GARS_N	Phosphoribosylglycinamide synthetase, N domain
PF02845	CUE	CUE domain
PF02847	MA3	MA3 domain
PF02852	Pyr_redox_dim	Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain
PF02854	MIF4G	MIF4G domain
PF02861	Clp_N	Clp amino terminal domain, pathogenicity island component
PF02862	DDHD	DDHD domain
PF02863	Arg_repressor_C	Arginine repressor, C-terminal domain
PF02864	STAT_bind	STAT protein, DNA binding domain
PF02866	Ldh_1_C	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF02867	Ribonuc_red_lgC	Ribonucleotide reductase, barrel domain
PF02868	Peptidase_M4_C	Thermolysin metallopeptidase, alpha-helical domain
PF02870	Methyltransf_1N	6-O-methylguanine DNA methyltransferase, ribonuclease-like domain
PF02872	5_nucleotid_C	5'-nucleotidase, C-terminal domain
PF02873	MurB_C	UDP-N-acetylenolpyruvoylglucosamine reductase, C-terminal domain
PF02874	ATP-synt_ab_N	ATP synthase alpha/beta family, beta-barrel domain
PF02875	Mur_ligase_C	Mur ligase family, glutamate ligase domain
PF02876	Stap_Strp_tox_C	Staphylococcal/Streptococcal toxin, beta-grasp domain
PF02877	PARP_reg	Poly(ADP-ribose) polymerase, regulatory domain
PF02878	PGM_PMM_I	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I
PF02879	PGM_PMM_II	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II
PF02880	PGM_PMM_III	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
PF02881	SRP54_N	SRP54-type protein, helical bundle domain
PF02882	THF_DHG_CYH_C	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain
PF02883	Alpha_adaptinC2	Adaptin C-terminal domain
PF02884	Lyase_8_C	Polysaccharide lyase family 8, C-terminal beta-sandwich domain
PF02885	Glycos_trans_3N	Glycosyl transferase family, helical bundle domain
PF02886	LBP_BPI_CETP_C	LBP / BPI / CETP family, C-terminal domain
PF02887	PK_C	Pyruvate kinase, alpha/beta domain
PF02889	Sec63	Sec63 Brl domain
PF02891	zf-MIZ	MIZ/SP-RING zinc finger
PF02892	zf-BED	BED zinc finger
PF02893	GRAM	GRAM domain
PF02894	GFO_IDH_MocA_C	Oxidoreductase family, C-terminal alpha/beta domain
PF02895	H-kinase_dim	Signal transducing histidine kinase, homodimeric domain
PF02896	PEP-utilizers_C	PEP-utilising enzyme, TIM barrel domain
PF02897	Peptidase_S9_N	Prolyl oligopeptidase, N-terminal beta-propeller domain
PF02898	NO_synthase	Nitric oxide synthase, oxygenase domain
PF02899	Phage_int_SAM_1	Phage integrase, N-terminal SAM-like domain
PF02900	LigB	Catalytic LigB subunit of aromatic ring-opening dioxygenase
PF02901	PFL-like	Pyruvate formate lyase-like
PF02902	Peptidase_C48	Ulp1 protease family, C-terminal catalytic domain
PF02903	Alpha-amylase_N	Alpha amylase, N-terminal ig-like domain
PF02906	Fe_hyd_lg_C	Iron only hydrogenase large subunit, C-terminal domain
PF02909	TetR_C	Tetracyclin repressor, C-terminal all-alpha domain
PF02910	Succ_DH_flav_C	Fumarate reductase flavoprotein C-term
PF02911	Formyl_trans_C	Formyl transferase, C-terminal domain
PF02912	Phe_tRNA-synt_N	Aminoacyl tRNA synthetase class II, N-terminal domain
PF02913	FAD-oxidase_C	FAD linked oxidases, C-terminal domain
PF02914	DDE_2	Bacteriophage Mu transposase
PF02915	Rubrerythrin	Rubrerythrin
PF02916	DNA_PPF	DNA polymerase processivity factor
PF02919	Topoisom_I_N	Eukaryotic DNA topoisomerase I, DNA binding fragment
PF02921	UCR_TM	Ubiquinol cytochrome reductase transmembrane region
PF02922	CBM_48	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)
PF02923	BamHI	Restriction endonuclease BamHI
PF02924	HDPD	Bacteriophage lambda head decoration protein D
PF02925	gpD	Bacteriophage scaffolding protein D
PF02926	THUMP	THUMP domain
PF02927	CelD_N	Cellulase N-terminal ig-like domain
PF02928	zf-C5HC2	C5HC2 zinc finger
PF02929	Bgal_small_N	Beta galactosidase small chain
PF02931	Neur_chan_LBD	Neurotransmitter-gated ion-channel ligand binding domain
PF02932	Neur_chan_memb	Neurotransmitter-gated ion-channel transmembrane region
PF02933	CDC48_2	Cell division protein 48 (CDC48), domain 2
PF02934	GatB_N	GatB/GatE catalytic domain
PF02935	COX7C	Cytochrome c oxidase subunit VIIc
PF02936	COX4	Cytochrome c oxidase subunit IV
PF02937	COX6C	Cytochrome c oxidase subunit VIc
PF02938	GAD	GAD domain
PF02939	UcrQ	UcrQ family
PF02940	mRNA_triPase	mRNA capping enzyme, beta chain
PF02941	FeThRed_A	Ferredoxin thioredoxin reductase variable alpha chain
PF02943	FeThRed_B	Ferredoxin thioredoxin reductase catalytic beta chain
PF02945	Endonuclease_7	Recombination endonuclease VII
PF02948	Amelogenin	Amelogenin
PF02951	GSH-S_N	Prokaryotic glutathione synthetase, N-terminal domain
PF02952	Fucose_iso_C	L-fucose isomerase, C-terminal domain
PF02953	zf-Tim10_DDP	Tim10/DDP family zinc finger
PF02954	HTH_8	Bacterial regulatory protein, Fis family
PF02955	GSH-S_ATP	Prokaryotic glutathione synthetase, ATP-grasp domain
PF02958	EcKinase	Ecdysteroid kinase
PF02961	BAF	Barrier to autointegration factor
PF02962	CHMI	5-carboxymethyl-2-hydroxymuconate isomerase
PF02963	EcoRI	Restriction endonuclease EcoRI
PF02965	Met_synt_B12	Vitamin B12 dependent methionine synthase, activation domain
PF02966	DIM1	Mitosis protein DIM1
PF02969	TAF	TATA box binding protein associated factor (TAF)
PF02970	TBCA	Tubulin binding cofactor A
PF02971	FTCD	Formiminotransferase domain
PF02972	Phycoerythr_ab	Phycoerythrin, alpha/beta chain
PF02973	Sialidase	Sialidase, N-terminal domain
PF02974	Inh	Protease inhibitor Inh
PF02975	Me-amine-dh_L	Methylamine dehydrogenase, L chain
PF02976	MutH	DNA mismatch repair enzyme MutH
PF02977	CarbpepA_inh	Carboxypeptidase A inhibitor
PF02978	SRP_SPB	Signal peptide binding domain
PF02979	NHase_alpha	Nitrile hydratase, alpha chain
PF02983	Pro_Al_protease	Alpha-lytic protease prodomain
PF02984	Cyclin_C	Cyclin, C-terminal domain
PF02985	HEAT	HEAT repeat
PF02987	LEA_4	Late embryogenesis abundant protein
PF02990	EMP70	Endomembrane protein 70
PF02991	Atg8	Autophagy protein Atg8 ubiquitin like
PF02992	Transposase_21	Transposase family tnp2
PF02994	Transposase_22	L1 transposable element
PF02995	DUF229	Protein of unknown function (DUF229)
PF02996	Prefoldin	Prefoldin subunit
PF03000	NPH3	NPH3 family
PF03003	Pox_G9-A16	Pox virus entry-fusion-complex G9/A16
PF03006	HlyIII	Haemolysin-III related
PF03007	WES_acyltransf	Wax ester synthase-like Acyl-CoA acyltransferase domain
PF03008	DUF234	Archaea bacterial proteins of unknown function
PF03009	GDPD	Glycerophosphoryl diester phosphodiesterase family
PF03013	Pyr_excise	Pyrimidine dimer DNA glycosylase
PF03015	Sterile	Male sterility protein
PF03016	Exostosin	Exostosin family
PF03018	Dirigent	Dirigent-like protein
PF03020	LEM	LEM domain
PF03022	MRJP	Major royal jelly protein
PF03023	MVIN	MviN-like protein
PF03024	Folate_rec	Folate receptor family
PF03028	Dynein_heavy	Dynein heavy chain and region D6 of dynein motor
PF03029	ATP_bind_1	Conserved hypothetical ATP binding protein
PF03030	H_PPase	Inorganic H+ pyrophosphatase
PF03031	NIF	NLI interacting factor-like phosphatase
PF03032	FSAP_sig_propep	Frog skin active peptide family signal and propeptide
PF03033	Glyco_transf_28	Glycosyltransferase family 28 N-terminal domain
PF03034	PSS	Phosphatidyl serine synthase
PF03035	RNA_capsid	Calicivirus putative RNA polymerase/capsid protein
PF03040	CemA	CemA family
PF03048	Herpes_UL92	UL92 family
PF03050	DDE_Tnp_IS66	Transposase IS66 family 
PF03051	Peptidase_C1_2	Peptidase C1-like family
PF03054	tRNA_Me_trans	tRNA methyl transferase
PF03055	RPE65	Retinal pigment epithelial membrane protein
PF03059	NAS	Nicotianamine synthase protein
PF03060	NMO	Nitronate monooxygenase
PF03061	4HBT	Thioesterase superfamily
PF03062	MBOAT	MBOAT, membrane-bound O-acyltransferase family
PF03063	Prismane	Prismane/CO dehydrogenase family
PF03065	Glyco_hydro_57	Glycosyl hydrolase family 57
PF03066	Nucleoplasmin	Nucleoplasmin/nucleophosmin domain
PF03067	LPMO_10	Lytic polysaccharide mono-oxygenase, cellulose-degrading
PF03068	PAD	Protein-arginine deiminase (PAD)
PF03069	FmdA_AmdA	Acetamidase/Formamidase family
PF03070	TENA_THI-4	TENA/THI-4/PQQC family
PF03071	GNT-I	GNT-I family
PF03073	TspO_MBR	TspO/MBR family
PF03074	GCS	Glutamate-cysteine ligase
PF03078	ATHILA	ATHILA ORF-1 family
PF03079	ARD	ARD/ARD' family
PF03080	DUF239	Domain of unknown function (DUF239)
PF03081	Exo70	Exo70 exocyst complex subunit
PF03083	MtN3_slv	Sugar efflux transporter for intercellular exchange
PF03087	DUF241	Arabidopsis protein of unknown function
PF03088	Str_synth	Strictosidine synthase
PF03089	RAG2	Recombination activating protein 2
PF03090	Replicase	Replicase family
PF03091	CutA1	CutA1 divalent ion tolerance protein
PF03092	BT1	BT1 family
PF03094	Mlo	Mlo family
PF03095	PTPA	Phosphotyrosyl phosphate activator (PTPA) protein
PF03096	Ndr	Ndr family
PF03097	BRO1	BRO1-like domain
PF03098	An_peroxidase	Animal haem peroxidase
PF03099	BPL_LplA_LipB	Biotin/lipoate A/B protein ligase family
PF03100	CcmE	CcmE
PF03101	FAR1	FAR1 DNA-binding domain
PF03102	NeuB	NeuB family
PF03104	DNA_pol_B_exo1	DNA polymerase family B, exonuclease domain
PF03105	SPX	SPX domain
PF03106	WRKY	WRKY DNA -binding domain
PF03107	C1_2	C1 domain
PF03108	DBD_Tnp_Mut	MuDR family transposase
PF03109	ABC1	ABC1 family
PF03110	SBP	SBP domain
PF03112	DUF244	Uncharacterized protein family (ORF7) DUF
PF03114	BAR	BAR domain
PF03116	NQR2_RnfD_RnfE	NQR2, RnfD, RnfE family
PF03118	RNA_pol_A_CTD	Bacterial RNA polymerase, alpha chain C terminal domain
PF03119	DNA_ligase_ZBD	NAD-dependent DNA ligase C4 zinc finger domain
PF03120	DNA_ligase_OB	NAD-dependent DNA ligase OB-fold domain
PF03121	Herpes_UL52	Herpesviridae UL52/UL70 DNA primase
PF03123	CAT_RBD	CAT RNA binding domain
PF03124	EXS	EXS family
PF03125	Sre	C. elegans Sre G protein-coupled chemoreceptor
PF03126	Plus-3	Plus-3 domain
PF03127	GAT	GAT domain
PF03128	CXCXC	CXCXC repeat
PF03129	HGTP_anticodon	Anticodon binding domain
PF03130	HEAT_PBS	PBS lyase HEAT-like repeat
PF03131	bZIP_Maf	bZIP Maf transcription factor
PF03133	TTL	Tubulin-tyrosine ligase family
PF03134	TB2_DP1_HVA22	TB2/DP1, HVA22 family
PF03135	CagE_TrbE_VirB	CagE, TrbE, VirB family, component of type IV transporter system
PF03136	Pup_ligase	Pup-ligase protein
PF03137	OATP	Organic Anion Transporter Polypeptide (OATP) family
PF03141	Methyltransf_29	Putative S-adenosyl-L-methionine-dependent methyltransferase
PF03142	Chitin_synth_2	Chitin synthase
PF03143	GTP_EFTU_D3	Elongation factor Tu C-terminal domain
PF03144	GTP_EFTU_D2	Elongation factor Tu domain 2
PF03145	Sina	Seven in absentia protein family
PF03147	FDX-ACB	Ferredoxin-fold anticodon binding domain
PF03148	Tektin	Tektin family
PF03150	CCP_MauG	Di-haem cytochrome c peroxidase
PF03151	TPT	Triose-phosphate Transporter family
PF03152	UFD1	Ubiquitin fusion degradation protein UFD1
PF03153	TFIIA	Transcription factor IIA, alpha/beta subunit
PF03154	Atrophin-1	Atrophin-1 family
PF03155	Alg6_Alg8	ALG6, ALG8 glycosyltransferase family
PF03159	XRN_N	XRN 5'-3' exonuclease N-terminus
PF03160	Calx-beta	Calx-beta domain
PF03161	LAGLIDADG_2	LAGLIDADG DNA endonuclease family
PF03162	Y_phosphatase2	Tyrosine phosphatase family
PF03164	Mon1	Trafficking protein Mon1
PF03165	MH1	MH1 domain
PF03166	MH2	MH2 domain
PF03167	UDG	Uracil DNA glycosylase superfamily
PF03168	LEA_2	Late embryogenesis abundant protein
PF03169	OPT	OPT oligopeptide transporter protein
PF03170	BcsB	Bacterial cellulose synthase subunit
PF03171	2OG-FeII_Oxy	2OG-Fe(II) oxygenase superfamily
PF03173	CHB_HEX	Putative carbohydrate binding domain
PF03174	CHB_HEX_C	Chitobiase/beta-hexosaminidase C-terminal domain
PF03175	DNA_pol_B_2	DNA polymerase type B, organellar and viral
PF03176	MMPL	MMPL family
PF03177	Nucleoporin_C	Non-repetitive/WGA-negative nucleoporin C-terminal
PF03178	CPSF_A	CPSF A subunit region
PF03179	V-ATPase_G	Vacuolar (H+)-ATPase G subunit
PF03180	Lipoprotein_9	NLPA lipoprotein
PF03184	DDE_1	DDE superfamily endonuclease
PF03185	CaKB	Calcium-activated potassium channel, beta subunit
PF03186	CobD_Cbib	CobD/Cbib protein
PF03188	Cytochrom_B561	Eukaryotic cytochrome b561
PF03189	Otopetrin	Otopetrin
PF03190	Thioredox_DsbH	Protein of unknown function, DUF255
PF03193	DUF258	Protein of unknown function, DUF258
PF03194	LUC7	LUC7 N_terminus
PF03196	DUF261	Protein of unknown function, DUF261
PF03198	Glyco_hydro_72	Glucanosyltransferase
PF03199	GSH_synthase	Eukaryotic glutathione synthase
PF03200	Glyco_hydro_63	Glycosyl hydrolase family 63 C-terminal domain
PF03203	MerC	MerC mercury resistance protein
PF03205	MobB	Molybdopterin guanine dinucleotide synthesis protein B
PF03206	NifW	Nitrogen fixation protein NifW
PF03208	PRA1	PRA1 family protein
PF03209	PUCC	PUCC protein
PF03211	Pectate_lyase	Pectate lyase
PF03212	Pertactin	Pertactin
PF03213	Pox_P35	Poxvirus P35 protein
PF03214	RGP	Reversibly glycosylated polypeptide
PF03215	Rad17	Rad17 cell cycle checkpoint protein
PF03219	TLC	TLC ATP/ADP transporter
PF03221	HTH_Tnp_Tc5	Tc5 transposase DNA-binding domain
PF03222	Trp_Tyr_perm	Tryptophan/tyrosine permease family
PF03223	V-ATPase_C	V-ATPase subunit C
PF03224	V-ATPase_H_N	V-ATPase subunit H
PF03226	Yippee-Mis18	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly
PF03227	GILT	Gamma interferon inducible lysosomal thiol reductase (GILT)
PF03229	Alpha_GJ	Alphavirus glycoprotein J
PF03230	Antirestrict	Antirestriction protein
PF03232	COQ7	Ubiquinone biosynthesis protein COQ7
PF03234	CDC37_N	Cdc37 N terminal kinase binding
PF03235	DUF262	Protein of unknown function DUF262
PF03237	Terminase_6	Terminase-like family
PF03239	FTR1	Iron permease FTR1 family
PF03241	HpaB	4-hydroxyphenylacetate 3-hydroxylase C terminal
PF03243	MerB	Alkylmercury lyase
PF03244	PSI_PsaH	Photosystem I reaction centre subunit VI
PF03245	Phage_lysis	Bacteriophage Rz lysis protein
PF03248	Rer1	Rer1 family
PF03250	Tropomodulin	Tropomodulin
PF03253	UT	Urea transporter
PF03254	XG_FTase	Xyloglucan fucosyltransferase
PF03255	ACCA	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF03256	ANAPC10	Anaphase-promoting complex, subunit 10 (APC10)
PF03259	Robl_LC7	Roadblock/LC7 domain
PF03261	CDK5_activator	Cyclin-dependent kinase 5 activator protein
PF03262	Corona_6B_7B	Coronavirus 6B/7B protein
PF03264	Cytochrom_NNT	NapC/NirT cytochrome c family, N-terminal region
PF03265	DNase_II	Deoxyribonuclease II
PF03266	NTPase_1	NTPase
PF03269	DUF268	Caenorhabditis protein of unknown function, DUF268
PF03270	DUF269	Protein of unknown function, DUF269
PF03271	EB1	EB1-like C-terminal motif
PF03275	GLF	UDP-galactopyranose mutase
PF03279	Lip_A_acyltrans	Bacterial lipid A biosynthesis acyltransferase
PF03280	Lipase_chap	Proteobacterial lipase chaperone protein
PF03281	Mab-21	Mab-21 protein
PF03283	PAE	Pectinacetylesterase
PF03284	PHZA_PHZB	Phenazine biosynthesis protein A/B
PF03288	Pox_D5	Poxvirus D5 protein-like
PF03290	Peptidase_C57	Vaccinia virus I7 processing peptidase
PF03291	Pox_MCEL	mRNA capping enzyme
PF03292	Pox_P4B	Poxvirus P4B major core protein
PF03296	Pox_polyA_pol	Poxvirus poly(A) polymerase nucleotidyltransferase domain
PF03297	Ribosomal_S25	S25 ribosomal protein
PF03298	Stanniocalcin	Stanniocalcin family
PF03299	TF_AP-2	Transcription factor AP-2
PF03301	Trp_dioxygenase	Tryptophan 2,3-dioxygenase
PF03304	Mlp	Mlp lipoprotein family
PF03306	AAL_decarboxy	Alpha-acetolactate decarboxylase
PF03308	ArgK	ArgK protein
PF03309	Pan_kinase	Type III pantothenate kinase
PF03311	Cornichon	Cornichon protein
PF03313	SDH_alpha	Serine dehydratase alpha chain
PF03314	DUF273	Protein of unknown function, DUF273
PF03315	SDH_beta	Serine dehydratase beta chain
PF03318	ETX_MTX2	Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2
PF03319	EutN_CcmL	Ethanolamine utilisation protein EutN/carboxysome
PF03320	FBPase_glpX	Bacterial fructose-1,6-bisphosphatase, glpX-encoded
PF03321	GH3	GH3 auxin-responsive promoter
PF03328	HpcH_HpaI	HpcH/HpaI aldolase/citrate lyase family
PF03330	DPBB_1	Lytic transglycolase
PF03331	LpxC	UDP-3-O-acyl N-acetylglycosamine deacetylase
PF03332	PMM	Eukaryotic phosphomannomutase
PF03333	PapB	Adhesin biosynthesis transcription regulatory protein
PF03334	PhaG_MnhG_YufB	Na+/H+ antiporter subunit
PF03335	Phage_fiber	Phage tail fibre repeat
PF03336	Pox_C4_C10	Poxvirus C4/C10 protein
PF03340	Pox_Rif	Poxvirus rifampicin resistance protein
PF03343	SART-1	SART-1 family
PF03345	DDOST_48kD	Oligosaccharyltransferase 48 kDa subunit beta
PF03348	Serinc	Serine incorporator (Serinc)
PF03349	Toluene_X	Outer membrane protein transport protein (OMPP1/FadL/TodX)
PF03350	UPF0114	Uncharacterized protein family, UPF0114
PF03351	DOMON	DOMON domain
PF03352	Adenine_glyco	Methyladenine glycosylase
PF03354	Terminase_1	Phage Terminase 
PF03357	Snf7	Snf7
PF03358	FMN_red	NADPH-dependent FMN reductase
PF03359	GKAP	Guanylate-kinase-associated protein (GKAP) protein
PF03360	Glyco_transf_43	Glycosyltransferase family 43
PF03364	Polyketide_cyc	Polyketide cyclase / dehydrase and lipid transport
PF03366	YEATS	YEATS family
PF03367	zf-ZPR1	ZPR1 zinc-finger domain
PF03368	Dicer_dimer	Dicer dimerisation domain
PF03370	CBM_21	Carbohydrate/starch-binding module (family 21)
PF03371	PRP38	PRP38 family
PF03372	Exo_endo_phos	Endonuclease/Exonuclease/phosphatase family
PF03374	ANT	Phage antirepressor protein KilAC domain
PF03378	CAS_CSE1	CAS/CSE protein, C-terminus
PF03379	CcmB	CcmB protein
PF03381	CDC50	LEM3 (ligand-effect modulator 3) family / CDC50 family
PF03382	DUF285	Mycoplasma protein of unknown function, DUF285
PF03385	DUF288	Protein of unknown function, DUF288
PF03386	ENOD93	Early nodulin 93 ENOD93 protein
PF03388	Lectin_leg-like	Legume-like lectin family
PF03389	MobA_MobL	MobA/MobL family
PF03390	2HCT	2-hydroxycarboxylate transporter family
PF03398	Ist1	Regulator of Vps4 activity in the MVB pathway
PF03399	SAC3_GANP	SAC3/GANP family
PF03400	DDE_Tnp_IS1	IS1 transposase
PF03401	TctC	Tripartite tricarboxylate transporter family receptor
PF03403	PAF-AH_p_II	Platelet-activating factor acetylhydrolase, isoform II
PF03404	Mo-co_dimer	Mo-co oxidoreductase dimerisation domain
PF03405	FA_desaturase_2	Fatty acid desaturase
PF03406	Phage_fiber_2	Phage tail fibre repeat
PF03407	Nucleotid_trans	Nucleotide-diphospho-sugar transferase
PF03411	Peptidase_M74	Penicillin-insensitive murein endopeptidase
PF03412	Peptidase_C39	Peptidase C39 family
PF03413	PepSY	Peptidase propeptide and YPEB domain
PF03414	Glyco_transf_6	Glycosyltransferase family 6
PF03415	Peptidase_C11	Clostripain family
PF03416	Peptidase_C54	Peptidase family C54
PF03417	AAT	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF03420	Peptidase_S77	Prohead core protein serine protease
PF03421	Acetyltransf_14	YopJ Serine/Threonine acetyltransferase
PF03422	CBM_6	Carbohydrate binding module (family 6)
PF03423	CBM_25	Carbohydrate binding domain (family 25)
PF03425	CBM_11	Carbohydrate binding domain (family 11)
PF03426	CBM_15	Carbohydrate binding domain (family 15)
PF03428	RP-C	Replication protein C N-terminal domain
PF03432	Relaxase	Relaxase/Mobilisation nuclease domain 
PF03433	EspA	EspA-like secreted protein 
PF03434	DUF276	DUF276 
PF03435	Sacchrp_dh_NADP	Saccharopine dehydrogenase NADP binding domain
PF03437	BtpA	BtpA family
PF03439	Spt5-NGN	Early transcription elongation factor of RNA pol II, NGN section
PF03441	FAD_binding_7	FAD binding domain of DNA photolyase
PF03443	Glyco_hydro_61	Glycosyl hydrolase family 61
PF03444	HrcA_DNA-bdg	Winged helix-turn-helix transcription repressor, HrcA DNA-binding
PF03445	DUF294	Putative nucleotidyltransferase DUF294
PF03446	NAD_binding_2	NAD binding domain of 6-phosphogluconate dehydrogenase
PF03447	NAD_binding_3	Homoserine dehydrogenase, NAD binding domain
PF03448	MgtE_N	MgtE intracellular N domain
PF03449	GreA_GreB_N	Transcription elongation factor, N-terminal
PF03450	CO_deh_flav_C	CO dehydrogenase flavoprotein C-terminal domain
PF03451	HELP	HELP motif
PF03452	Anp1	Anp1
PF03453	MoeA_N	MoeA N-terminal region (domain I and II)
PF03454	MoeA_C	MoeA C-terminal region (domain IV)
PF03455	dDENN	dDENN domain
PF03456	uDENN	uDENN domain
PF03457	HA	Helicase associated domain
PF03458	UPF0126	UPF0126 domain
PF03459	TOBE	TOBE domain
PF03460	NIR_SIR_ferr	Nitrite/Sulfite reductase ferredoxin-like half domain
PF03461	TRCF	TRCF domain
PF03462	PCRF	PCRF domain
PF03463	eRF1_1	eRF1 domain 1
PF03464	eRF1_2	eRF1 domain 2
PF03465	eRF1_3	eRF1 domain 3
PF03466	LysR_substrate	LysR substrate binding domain
PF03467	Smg4_UPF3	Smg-4/UPF3 family
PF03469	XH	XH domain
PF03471	CorC_HlyC	Transporter associated domain
PF03472	Autoind_bind	Autoinducer binding domain
PF03473	MOSC	MOSC domain
PF03475	3-alpha	3-alpha domain
PF03476	MOSC_N	MOSC N-terminal beta barrel domain
PF03477	ATP-cone	ATP cone domain
PF03479	DUF296	Domain of unknown function (DUF296)
PF03480	DctP	Bacterial extracellular solute-binding protein, family 7
PF03481	SUA5	Putative GTP-binding controlling metal-binding
PF03483	B3_4	B3/4 domain
PF03484	B5	tRNA synthetase B5 domain
PF03485	Arg_tRNA_synt_N	Arginyl tRNA synthetase N terminal domain
PF03486	HI0933_like	HI0933-like protein
PF03489	SapB_2	Saposin-like type B, region 2
PF03490	Varsurf_PPLC	Variant-surface-glycoprotein phospholipase C
PF03492	Methyltransf_7	SAM dependent carboxyl methyltransferase
PF03493	BK_channel_a	Calcium-activated BK potassium channel alpha subunit
PF03495	Binary_toxB	Clostridial binary toxin B/anthrax toxin PA
PF03496	ADPrib_exo_Tox	ADP-ribosyltransferase exoenzyme
PF03497	Anthrax_toxA	Anthrax toxin LF subunit
PF03498	CDtoxinA	Cytolethal distending toxin A/C domain
PF03500	Cellsynth_D	Cellulose synthase subunit D
PF03501	S10_plectin	Plectin/S10 domain
PF03502	Channel_Tsx	Nucleoside-specific channel-forming protein, Tsx
PF03504	Chlam_OMP6	Chlamydia cysteine-rich outer membrane protein 6
PF03512	Glyco_hydro_52	Glycosyl hydrolase family 52
PF03517	Voldacs	Regulator of volume decrease after cellular swelling
PF03520	KCNQ_channel	KCNQ voltage-gated potassium channel
PF03522	SLC12	Solute carrier family 12
PF03524	CagX	Conjugal transfer protein
PF03527	RHS	RHS protein
PF03528	Rabaptin	Rabaptin
PF03530	SK_channel	Calcium-activated SK potassium channel
PF03531	SSrecog	Structure-specific recognition protein (SSRP1)
PF03534	SpvB	Salmonella virulence plasmid 65kDa B protein
PF03537	Glyco_hydro_114	Glycoside-hydrolase family GH114
PF03538	VRP1	Salmonella virulence plasmid 28.1kDa A protein
PF03539	Spuma_A9PTase	Spumavirus aspartic protease (A9)
PF03540	TFIID_30kDa	Transcription initiation factor TFIID 23-30kDa subunit
PF03542	Tuberin	Tuberin
PF03543	Peptidase_C58	Yersinia/Haemophilus virulence surface antigen
PF03544	TonB_C	Gram-negative bacterial TonB protein C-terminal
PF03547	Mem_trans	Membrane transport protein
PF03548	LolA	Outer membrane lipoprotein carrier protein LolA
PF03550	LolB	Outer membrane lipoprotein LolB
PF03551	PadR	Transcriptional regulator PadR-like family
PF03552	Cellulose_synt	Cellulose synthase
PF03553	Na_H_antiporter	Na+/H+ antiporter family
PF03556	Cullin_binding	Cullin binding
PF03559	Hexose_dehydrat	NDP-hexose 2,3-dehydratase
PF03561	Allantoicase	Allantoicase repeat
PF03562	MltA	MltA specific insert domain
PF03564	DUF1759	Protein of unknown function (DUF1759)
PF03567	Sulfotransfer_2	Sulfotransferase family
PF03568	Peptidase_C50	Peptidase family C50
PF03571	Peptidase_M49	Peptidase family M49
PF03572	Peptidase_S41	Peptidase family S41
PF03573	OprD	outer membrane porin, OprD family
PF03574	Peptidase_S48	Peptidase family S48
PF03575	Peptidase_S51	Peptidase family S51
PF03576	Peptidase_S58	Peptidase family S58 
PF03577	Peptidase_C69	Peptidase family C69
PF03583	LIP	Secretory lipase 
PF03587	EMG1	EMG1/NEP1 methyltransferase
PF03588	Leu_Phe_trans	Leucyl/phenylalanyl-tRNA protein transferase
PF03590	AsnA	Aspartate-ammonia ligase
PF03591	AzlC	AzlC protein
PF03592	Terminase_2	Terminase small subunit 
PF03594	BenE	Benzoate membrane transport protein
PF03595	SLAC1	Voltage-dependent anion channel
